numAtoms,name,smiles
11.0,130617.0,C#Cc1noncc1=O
11.0,33388.0,C#CC(C#C)(C#N)C#N
11.0,132083.0,O=c1ocnc(O)c1F
11.0,130682.0,O=c1[nH]c2oncc2o1
10.0,133442.0,[NH]C1=N[C](F)C(F)=NO1
11.0,23761.0,Oc1nccnc1F
9.0,115.0,C#CC#CC
11.0,130918.0,O=Cc1noncc1=O
11.0,1370.0,C#CC(=N)NC=O
11.0,446.0,[NH][C]1COCO1
11.0,24962.0,O=c1[nH]c2ocnc2o1
11.0,132140.0,[NH]C1=C[N]C(F)=C(F)O1
10.0,132243.0,[NH][C]1OC(=O)N=C(F)O1
11.0,133359.0,Nc1nc(=O)onc1F
11.0,132334.0,[NH]C1=CC(F)N=C(F)O1
10.0,35.0,CCC=O
10.0,130830.0,O=CC(=O)c1nnon1
8.0,3924.0,O=Cc1nnon1
10.0,21677.0,N#Cc1nc(N)no1
10.0,23628.0,[NH]C1N=COC(F)=N1
11.0,760.0,Nc1cn[nH]c1
11.0,20610.0,Cc1onnc1C#N
10.0,21433.0,C#CC1=NOC([NH])O1
11.0,3799.0,COc1cnno1
11.0,131049.0,O=CNc1noc(=O)o1
10.0,132478.0,O=c1oc(F)cnc1F
11.0,2619.0,C#CCC#CC=O
10.0,33389.0,C#CC(C#N)(C#N)C#N
11.0,23673.0,Oc1cc(F)ncn1
7.0,790.0,Oc1nnon1
11.0,23841.0,[NH]C1=NCC(F)=NN1
10.0,148.0,O=CN1CC1
10.0,758.0,Nc1cnn[nH]1
10.0,132329.0,O=C=NC(F)=CC(=O)F
11.0,8624.0,N#CC(O)(C=O)C=O
11.0,133432.0,O=c1[nH]nc(O)nc1F
9.0,21987.0,O=[N+]([O-])c1cnon1
10.0,67.0,CC(O)C#N
11.0,130.0,CCOC=O
11.0,348.0,C#CC(=O)NC
10.0,1365.0,C#CCC(=O)C#N
10.0,2962.0,N#CC(=O)C1CO1
10.0,130794.0,N#N.O=C=NC1OC1=O
10.0,4957.0,O=c1occoc1=O
10.0,21356.0,c1[nH]nc2nnoc12
7.0,485.0,C#CC#CC#N
5.0,27.0,N#CC=O
11.0,5675.0,c1cc2ncoc2o1
10.0,762.0,Nc1cnoc1
11.0,155.0,OCC1CO1
11.0,21415.0,N#CC1=NNC([NH])N1
11.0,133438.0,[NH]C1=C(F)[CH]C(F)=NO1
9.0,21789.0,O=Cc1noc(=O)o1
11.0,131435.0,O=COc1nc(O)no1
11.0,129155.0,[NH]C1=N[N]ON=C1C=O
8.0,53.0,c1cocn1
7.0,17.0,C1CO1
10.0,249.0,[NH][CH]OC(N)=O
11.0,130915.0,C#Cc1nonc1C=O
11.0,23833.0,[NH]C1NN=CN=C1F
11.0,132838.0,N#Cc1cncnc1F
11.0,880.0,Oc1cnc(O)[nH]1
11.0,132232.0,[NH]C1=C[C](F)OC(=O)O1
11.0,20485.0,C1Oc2n[nH]nc2O1
11.0,209.0,Oc1cc[nH]c1
10.0,23644.0,O=c1nc(F)cco1
10.0,128876.0,N#Cc1cnoc1C#N
10.0,23817.0,O=c1cnocc1F
9.0,52.0,c1ccoc1
9.0,23877.0,O=CC(=O)C(F)(F)F
10.0,130573.0,N#CC(=O)c1cnon1
11.0,21823.0,O=CNc1cnno1
11.0,123322.0,C#Cc1nocc1C#N
10.0,21880.0,O=c1oncnc1O
11.0,130909.0,O=Cc1ncc(=O)on1
11.0,130557.0,C#CC(=O)n1cnnn1
10.0,4633.0,C#Cc1coc(=O)o1
10.0,21755.0,c1noc2cnoc12
11.0,130902.0,N#Cc1n[nH]nc1C=O
11.0,3961.0,OCc1ncon1
11.0,2492.0,C#CC(C#C)C#C
11.0,3690.0,Cc1ncnnn1
11.0,23947.0,N#CC#Cc1cocn1
9.0,21778.0,C#Cc1noc(=O)o1
11.0,123319.0,C#Cc1n[nH]nc1C#N
11.0,21499.0,NC(=O)c1conn1
11.0,3873.0,Nc1nc(O)n[nH]1
11.0,831.0,CCC(F)(F)F
11.0,133615.0,N#CC#CCC(F)(F)F
11.0,738.0,Cc1cn[nH]n1
11.0,4331.0,[NH]C1=NC(O)N=CO1
10.0,1377.0,C#CC(=O)NC=O
11.0,953.0,Oc1cncnc1
11.0,8997.0,N#CC(=O)COC=O
11.0,21940.0,O=c1onc(CO)o1
7.0,175.0,c1cnon1
11.0,21785.0,O=Cc1nccnn1
11.0,403.0,CC1(C#N)CO1
11.0,3752.0,Cn1cnoc1=O
11.0,1381.0,N=CNC(=O)C=O
11.0,21469.0,[NH][CH]Oc1ncno1
10.0,21971.0,O=[N+]([O-])c1ncco1
10.0,21695.0,N#Cc1nonc1N
11.0,132942.0,[NH]C1=C(F)[CH]OC(=O)O1
11.0,25221.0,O=c1ncncoc1=O
11.0,21742.0,c1cn2cnnc2o1
11.0,9161.0,N#CC#CC(=O)CO
11.0,23796.0,[NH]C1=C[C](F)C=NO1
10.0,23809.0,Fc1cnncc1F
11.0,48217.0,N#CC(C#N)(C=O)C=O
11.0,13.0,CCC
8.0,324.0,C#CC(=O)C=O
10.0,132337.0,O=c1cc(F)nc(F)o1
10.0,130729.0,N#Cc1nn[nH]c(=O)n1
9.0,3917.0,O=Cc1conn1
9.0,21977.0,O=[N+]([O-])c1cnno1
8.0,169.0,c1cn[nH]n1
11.0,2497.0,C#CC(C=O)C=O
11.0,130531.0,
11.0,133413.0,O=c1cc(F)c(F)n[nH]1
9.0,8975.0,N#CC(=O)C#CC=O
11.0,383.0,N#CC(O)CO
11.0,9159.0,COC(=O)C#CC#N
11.0,16269.0,N#CC12CC1OC2=O
11.0,4210.0,Fc1cccnc1
11.0,2958.0,C#CC(=O)C1CO1
11.0,128961.0,N#CCOc1nnon1
11.0,132933.0,O=c1cc(F)c(F)co1
10.0,25154.0,N#Cc1ncoc(=O)n1
11.0,444.0,O=C1C=CCN1
11.0,129177.0,[N][N][C]1N[C]([NH])OC1=O
10.0,132934.0,O=c1nc(F)c(F)co1
11.0,130251.0,Nc1noc(=O)c(=O)o1
10.0,21976.0,O=[N+]([O-])c1ccno1
8.0,166.0,c1c[nH]nn1
8.0,3932.0,O=Cn1nnnn1
11.0,71.0,CC(=O)CO
11.0,132470.0,O=c1oc(F)ccc1F
10.0,23781.0,O=c1ncocc1F
11.0,133357.0,Nc1nc(=O)c(F)no1
9.0,3836.0,[NH]C1=N[N]ON=C1
11.0,4242.0,[NH][C]1NC(=O)N=CO1
10.0,127.0,N#CCCO
10.0,3912.0,O=Cc1ccno1
10.0,21784.0,O=Cc1cnnnn1
8.0,14564.0,N#CC#CC#CC#N
11.0,5181.0,O=COc1cnco1
10.0,130919.0,N#N.[O][C]C(C=O)=N[O]
11.0,21571.0,NC1=N[N]OC(=O)[CH]1
11.0,3941.0,[NH]C1NN=C(O)N1
10.0,130789.0,N#CC1=N[N]OC(=O)[CH]1
11.0,2608.0,C#CC#CCC#C
11.0,3954.0,OCc1conn1
11.0,1032.0,O=Cc1c[nH]cn1
9.0,350.0,COC(=O)C#N
10.0,1010.0,C#Cc1ncco1
10.0,21970.0,O=[N+]([O-])c1cnco1
11.0,145.0,O=CC1CC1
11.0,557.0,N#CC1COC1
11.0,131997.0,O=[N+]([O-])c1nccnn1
11.0,14603.0,N#CC#CCOC=O
10.0,21352.0,c1[nH]nc2onnc12
10.0,125.0,COCC#N
11.0,2811.0,C#CC1NC1C#N
11.0,897.0,[NH]C1NC(O)=CO1
11.0,130592.0,[N][N]C1=C[CH]C(=O)C1=O
11.0,21426.0,
11.0,3796.0,CNc1nnon1
11.0,132819.0,Fc1ccnc(F)c1F
11.0,3810.0,COc1ncon1
11.0,48233.0,N#CC(=O)N(C=O)C=O
10.0,21701.0,Nc1nonnc1=O
9.0,51.0,c1c[nH]cn1
11.0,133400.0,[NH]C1=C(F)[C](F)C=NO1
10.0,3706.0,Cc1noc(=O)o1
10.0,131419.0,O=c1onc(O)oc1=O
11.0,132690.0,Oc1nc(F)cnc1F
11.0,65.0,CC(N)C#N
11.0,21679.0,Nc1ncc(=O)on1
11.0,21827.0,O=CNc1conn1
11.0,21409.0,[NH]C1NC(C=O)=NO1
11.0,24826.0,N#Cc1cocnc1=O
11.0,25359.0,N#Cc1coc(C=O)n1
11.0,20306.0,C#Cc1cncnn1
11.0,21296.0,COc1noc(=O)o1
10.0,2560.0,C#CC1(C#N)CO1
11.0,5366.0,O=Cc1ncncn1
11.0,21743.0,c1nc2occn2n1
11.0,4246.0,[NH]C1=N[CH]OC(=O)N1
10.0,739.0,Cc1nn[nH]n1
11.0,23815.0,
11.0,20696.0,Cc1nnoc(=O)n1
11.0,3456.0,O=C1C2C=CC1O2
10.0,130796.0,N#C[C]1C=N[N]OC1=O
10.0,2562.0,N#CC1(C#N)CN1
10.0,3921.0,O=Cc1ccon1
11.0,131.0,COCC=O
10.0,3847.0,[NH]C1=N[CH]C=NO1
9.0,21326.0,N#Cc1ncnnn1
9.0,21429.0,[NH]C1=N[N]OC(=O)O1
11.0,21406.0,
11.0,21759.0,c1cn2cnoc2n1
11.0,4703.0,N#Cc1cnc(O)[nH]1
10.0,23674.0,Fc1cc(F)ncn1
10.0,748.0,Cn1cnnn1
11.0,23873.0,C#CC(O)C(F)(F)F
10.0,24969.0,O=c1oc2ncoc2o1
11.0,130571.0,N#CC(=O)c1ccon1
10.0,23699.0,[NH]C1=NCN=C(F)O1
11.0,23884.0,COC(=O)C(F)(F)F
10.0,130790.0,C#Cc1nnoc(=O)n1
11.0,50796.0,N#CC#CC(=O)NC=O
11.0,131316.0,Oc1nc2oncn2n1
11.0,2559.0,C#CC1(C#C)CO1
9.0,3923.0,O=Cc1cnon1
11.0,1598.0,N#CC(O)C(N)=O
11.0,23823.0,
9.0,3897.0,O=c1cnonc1
11.0,21373.0,c1nc2conc2[nH]1
11.0,437.0,[NH][C]1CN=CN1
9.0,338.0,N#CC(O)C=O
11.0,25152.0,N#Cc1cc(=O)ocn1
10.0,48.0,C1COC1
11.0,131185.0,O=COc1onnc1O
9.0,3896.0,O=c1cnocn1
11.0,129268.0,N#CC1=NOC([NH])=C[N]1
9.0,92.0,O=C1CCO1
10.0,4640.0,O=Cc1coc(=O)o1
11.0,21430.0,[NH]C1OC=NN1C=O
9.0,774.0,O=c1[nH]cn[nH]1
9.0,8961.0,C#CC#CC(=O)C#N
7.0,778.0,O=c1ocno1
10.0,23629.0,O=c1ccoc(F)n1
4.0,4.0,C#C
11.0,215.0,c1ccncc1
10.0,3633.0,C#Cc1ccno1
11.0,130570.0,N#CC(=O)c1cn[nH]n1
9.0,36.0,CNC=O
10.0,8718.0,C#CC(=O)C(=O)C#C
11.0,130779.0,N#Cc1ccnoc1=O
8.0,8962.0,N#CC#CC(=O)C#N
11.0,3892.0,NCc1nnon1
9.0,23894.0,C#CC#CC(F)(F)F
11.0,247.0,N=CNC(N)=O
11.0,198.0,Oc1ccc[nH]1
9.0,785.0,Oc1nc[nH]n1
11.0,855.0,Nc1coc(O)n1
11.0,20327.0,C#CCc1nnon1
11.0,21869.0,[NH]C1N=NNC(O)=N1
11.0,21914.0,O=Cc1conc1O
11.0,734.0,Cc1ncn[nH]1
10.0,5663.0,c1nc2ocnc2o1
8.0,775.0,O=c1[nH]cno1
11.0,21493.0,N=C(N)n1nnnn1
10.0,928.0,O=c1ccnco1
9.0,23896.0,O=CC#CC(F)(F)F
11.0,23727.0,O=c1cnc(F)c[nH]1
10.0,8977.0,C#CC#CC(=O)C=O
11.0,4695.0,N#Cc1ncc(N)o1
10.0,130740.0,O=c1oc2cnoc2o1
9.0,188.0,O=c1[nH]cco1
11.0,131418.0,[NH][C]1OC(O)=NOC1=O
11.0,20775.0,Cc1nonc1C#N
11.0,131988.0,Nc1noc([N+](=O)[O-])n1
11.0,439.0,O=C1CC=CN1
11.0,243.0,CC(=O)NC=O
11.0,1584.0,C#CC(=O)C(=N)N
10.0,23678.0,Fc1cncc(F)n1
11.0,132237.0,[NH][C]1OC(=O)C=C(F)O1
11.0,720.0,C12C3C1N1C2C31
11.0,1937.0,N#CC1C[C]([NH])O1
11.0,21388.0,c1n[nH]c2[nH]nnc12
11.0,99.0,OC1COC1
11.0,4660.0,N#Cc1c[nH]c(O)n1
10.0,133474.0,FC(F)(F)c1ncno1
11.0,23719.0,Oc1cnc(F)cn1
11.0,130610.0,N#Cc1cc(=O)cno1
11.0,3956.0,OCc1ncno1
11.0,23996.0,C#Cc1ncc(C#N)o1
11.0,130777.0,O=c1cnoc(=O)cn1
