exp_name,Batch,test_loss,mean_length,n_samples,uniq_samples,good_samples,bad_samples,novelty,hard_novelty,soft_novelty,diversity,conciseness,solubility,naturalness,synthesizability,model_samples,neg-loglike,D_loss_0,Accuracy_0
drugs_02_diversity,0,5.641323089599609,44.02475,32000,31938,9364,22636,1.0,1.0,1.0,0.37817464143629465,0.6862238359675351,0.5328013166488584,0.49125588841791623,0.5417461830580511,drugs_02_diversity_0,208.32737731933594,2.36708927154541,0.523809552192688
drugs_02_diversity,1,5.737577438354492,40.81234375,6400,6393,2257,4143,1.0,1.0,1.0,0.37206183741228555,0.711431103234382,0.5352084224196181,0.4999609758919422,0.5769031168919176,drugs_02_diversity_1,295.5369873046875,1.1915701627731323,0.80952388048172
drugs_02_diversity,2,5.8504486083984375,37.68609375,6400,6387,2595,3805,0.9992292870905588,0.9992292870905588,0.9994605009633911,0.36948216348372814,0.7220809248554914,0.5401745554962806,0.5083617541907158,0.6016143417605387,drugs_02_diversity_2,329.33624267578125,0.7231830954551697,0.8412699103355408
drugs_02_diversity,3,5.9554123878479,34.74265625,6400,6377,2919,3481,1.0,1.0,1.0,0.3966052377637325,0.7394313120931825,0.5433088221452987,0.5204544384397942,0.626364205743884,drugs_02_diversity_3,325.75091552734375,0.5542105436325073,0.80952388048172
drugs_02_diversity,4,6.001552104949951,32.88265625,6400,6355,3140,3260,1.0,1.0,1.0,0.4501465200525749,0.7486305732484075,0.5420618241879629,0.527657490442617,0.6418353579833879,drugs_02_diversity_4,309.9761657714844,0.2666603624820709,0.9365079998970032
drugs_02_diversity,5,6.098994255065918,30.93890625,6400,6289,3409,2991,1.0,1.0,1.0,0.4822333784019278,0.7607216192431798,0.5345989345774623,0.5332575144934435,0.6485951060554332,drugs_02_diversity_5,306.3022155761719,0.24266910552978516,0.9523810148239136
drugs_02_diversity,6,6.059228897094727,29.49046875,6400,6281,3513,2887,1.0,1.0,1.0,0.4928320744231114,0.7512382578992314,0.5182423401949048,0.5510482047193299,0.6411035294206827,drugs_02_diversity_6,256.21484375,0.11043289303779602,0.9523810148239136
drugs_02_diversity,7,6.083700656890869,28.26265625,6400,6233,3546,2854,0.9997179921037789,0.9997179921037789,0.9998025944726453,0.5276553580512896,0.7447828539199097,0.5122456616080244,0.5526315044669242,0.6448955952796854,drugs_02_diversity_7,254.43606567382812,0.06726249307394028,0.9841270446777344
drugs_02_diversity,8,6.048751354217529,26.66484375,6400,6117,3722,2678,1.0,1.0,1.0,0.5402888149831886,0.7593766792047285,0.49702321302400004,0.5561137698242109,0.6469180217251395,drugs_02_diversity_8,286.6213073730469,0.08522592484951019,0.9841270446777344
drugs_02_diversity,9,6.036569595336914,25.03984375,6400,6009,3969,2431,1.0,1.0,1.0,0.6143144515933802,0.7730914588057445,0.48395711282684983,0.5652574074230191,0.6461011109130854,drugs_02_diversity_9,282.4950256347656,0.05878322571516037,0.9841270446777344
drugs_02_diversity,10,6.0067009925842285,23.3036875,32000,27322,20883,11117,1.0,1.0,1.0,0.6238934905757436,0.7806253890724513,0.46732425037444547,0.5744055125323332,0.6478570988259993,drugs_02_diversity_10,311.5659484863281,0.020536843687295914,1.0
drugs_02_diversity,11,6.005500316619873,21.484375,6400,5586,4432,1968,1.0,0.9997743682310469,1.0,0.6783283985453172,0.7892148014440433,0.4539341214071631,0.5834890486017353,0.6677301164580871,drugs_02_diversity_11,297.9648742675781,0.03337891772389412,0.9841270446777344
