exp_name,Batch,test_loss,mean_length,n_samples,uniq_samples,good_samples,bad_samples,novelty,hard_novelty,soft_novelty,diversity,conciseness,solubility,naturalness,synthesizability,model_samples,neg-loglike,D_loss_0,Accuracy_0,D_loss_1,Accuracy_1
drugs_04_synthesizability,0,5.642173767089844,44.02346875,32000,31936,9375,22625,1.0,1.0,1.0,0.38275087867025404,0.6833066666666666,0.5302420529752732,0.4937720358189692,0.5356458806218385,drugs_04_synthesizability_0,303.44866943359375,2.3284175395965576,0.5555556416511536,1.4265382289886475,0.7142857909202576
drugs_04_synthesizability,1,5.706283092498779,41.75234375,6400,6396,2132,4268,1.0,1.0,1.0,0.35424170333653415,0.7159005628517824,0.557576617550173,0.4894958881895171,0.5842581049172118,drugs_04_synthesizability_1,494.0826721191406,0.7628118991851807,0.8412699103355408,0.6072230935096741,0.7936508655548096
drugs_04_synthesizability,2,5.844149112701416,38.86203125,6400,6392,2535,3865,1.0,1.0,1.0,0.32334149142803936,0.715818540433925,0.5667633433766158,0.49189719486519945,0.6253692854505182,drugs_04_synthesizability_2,409.3307189941406,0.43559134006500244,0.8730159401893616,0.26387131214141846,0.9365079998970032
drugs_04_synthesizability,3,5.952054023742676,36.8675,6400,6366,2888,3512,1.0,1.0,1.0,0.3456508895673932,0.7567867036011079,0.5694780125596492,0.484320611290428,0.6739742378641955,drugs_04_synthesizability_3,332.7940979003906,0.13537649810314178,0.9841270446777344,0.15217921137809753,0.9523810148239136
drugs_04_synthesizability,4,6.039471626281738,34.453125,6400,6278,3227,3173,1.0,1.0,1.0,0.3306553857717885,0.7729470096064457,0.5576068500302216,0.48517880471599895,0.7045206807976644,drugs_04_synthesizability_4,353.666748046875,0.10687868297100067,0.968254029750824,0.09601009637117386,0.9841270446777344
drugs_04_synthesizability,5,6.097259998321533,32.83265625,6400,6226,3444,2956,0.9997096399535423,0.9997096399535423,0.9997967479674797,0.3086375662288574,0.7852206736353078,0.5497068918289572,0.48241720965871504,0.7216834503499064,drugs_04_synthesizability_5,321.2418212890625,0.09253378212451935,0.9523810148239136,0.0638643130660057,0.9841270446777344
drugs_04_synthesizability,6,6.172919750213623,31.49609375,6400,6110,3711,2689,1.0,1.0,1.0,0.33791008971558145,0.8016707087038534,0.5516278268056425,0.4763085144481187,0.7459499806087939,drugs_04_synthesizability_6,275.9295959472656,0.028601840138435364,1.0,0.021801907569169998,1.0
drugs_04_synthesizability,7,6.346439838409424,30.10359375,6400,5939,3943,2457,1.0,1.0,1.0,0.3063205686224546,0.8134415419731168,0.5514612751766804,0.48093622642450556,0.7697110320002217,drugs_04_synthesizability_7,306.75518798828125,0.03635371848940849,0.9841270446777344,0.015493524260818958,1.0
drugs_04_synthesizability,8,6.483102321624756,28.85328125,6400,5715,4268,2132,1.0,1.0,1.0,0.37092888850105277,0.8260543580131209,0.5545355884736481,0.4787214918886427,0.792950205605749,drugs_04_synthesizability_8,298.5927429199219,0.01503518782556057,1.0,0.008117105811834335,1.0
drugs_04_synthesizability,9,6.637030124664307,27.780625,6400,5468,4539,1861,1.0,1.0,1.0,0.24862212371346257,0.8379819343467725,0.5525706715286242,0.4885298129904676,0.8032060541478937,drugs_04_synthesizability_9,318.8865661621094,0.03777720406651497,0.9841270446777344,0.014805066399276257,1.0
drugs_04_synthesizability,10,6.83953332901001,26.5400625,32000,23137,23755,8245,0.9999579035992423,0.9999579035992423,0.9999705325194695,0.30334296878441497,0.8580214691643866,0.5593993179384726,0.4913295827922814,0.8339238779341401,drugs_04_synthesizability_10,308.7203674316406,0.005546013358980417,1.0,0.01207044068723917,1.0
drugs_04_synthesizability,11,6.978018760681152,26.33859375,6400,4980,4894,1506,1.0,1.0,1.0,0.36907871437644846,0.861565181855333,0.5725757883921883,0.4930474684376512,0.854018489218826,drugs_04_synthesizability_11,320.5868225097656,0.0036323554813861847,1.0,0.011286066845059395,1.0
drugs_04_synthesizability,12,7.094320774078369,25.36765625,6400,4722,5030,1370,1.0,1.0,1.0,0.27233971720229494,0.8733996023856857,0.5686512994894976,0.49890042373154875,0.8617156267455961,drugs_04_synthesizability_12,308.3218688964844,0.0034276375081390142,1.0,0.0026328102685511112,1.0
drugs_04_synthesizability,13,7.176873207092285,24.2975,6400,4436,5201,1199,1.0,1.0,1.0,0.3580437283955763,0.8880792155354741,0.5693749252164398,0.4955177629889562,0.8787836554615053,drugs_04_synthesizability_13,254.56607055664062,0.010896014980971813,1.0,0.0020664117764681578,1.0
drugs_04_synthesizability,14,7.248321533203125,24.05890625,6400,4298,5316,1084,1.0,1.0,1.0,0.29204457768952774,0.8959179834462003,0.5708259870686779,0.49755246062041286,0.8876722407404928,drugs_04_synthesizability_14,268.1190490722656,0.002847543451935053,1.0,0.0017972361529245973,1.0
drugs_04_synthesizability,15,7.253528594970703,23.2759375,6400,4129,5375,1025,1.0,1.0,1.0,0.2922982528886632,0.9031813953488372,0.5710944969186684,0.505280602614398,0.893048713241064,drugs_04_synthesizability_15,259.70135498046875,0.01036171242594719,1.0,0.0022100135684013367,1.0
drugs_04_synthesizability,16,7.316916465759277,22.75484375,6400,3851,5484,916,1.0,1.0,1.0,0.3317223294703142,0.9110138584974471,0.569716233654343,0.5038187237740838,0.9059898418044643,drugs_04_synthesizability_16,221.5683135986328,0.0013655985239893198,1.0,0.001240902696736157,1.0
drugs_04_synthesizability,17,7.344036102294922,22.235625,6400,3657,5572,828,1.0,1.0,1.0,0.2726603510188536,0.9177853553481694,0.5684583011357424,0.5056217108546658,0.9111196643057669,drugs_04_synthesizability_17,243.02267456054688,0.00261521665379405,1.0,0.0010579542722553015,1.0
