exp_name,Batch,test_loss,mean_length,n_samples,uniq_samples,good_samples,bad_samples,novelty,hard_novelty,soft_novelty,diversity,conciseness,solubility,naturalness,synthesizability,model_samples,neg-loglike,D_loss_0,Accuracy_0,D_loss_1,Accuracy_1,D_loss_2,Accuracy_2,D_loss_3,Accuracy_3,D_loss_4,Accuracy_4
drugs_10_diversity,0,5.6387939453125,43.92128125,32000,31918,9388,22612,1.0,1.0,1.0,0.3861978500320905,0.6827439284192586,0.5261411877591587,0.49692222558581145,0.5333416682297675,drugs_10_diversity_0,375.5103454589844,2.4185397624969482,0.6031746864318848,1.4392938613891602,0.6984127759933472,0.9363945722579956,0.7619048357009888,0.653639554977417,0.7777778506278992,0.5252901315689087,0.80952388048172
drugs_10_diversity,1,5.757787704467773,41.8128125,6400,6390,2031,4369,1.0,1.0,1.0,0.36401924724300894,0.6931068439192516,0.551527670007194,0.5023335780086423,0.5801457403677948,drugs_10_diversity_1,609.4817504882812,0.290772020816803,0.9365079998970032,0.2991429269313812,0.9047619700431824,0.24867478013038635,0.9047619700431824,0.196637824177742,0.9523810148239136,0.1851300299167633,0.9206349849700928
drugs_10_diversity,2,5.736700057983398,41.96421875,6400,6396,1950,4450,1.0,1.0,1.0,0.3724129257693126,0.6893846153846154,0.5623460821389158,0.5080769731083269,0.576045573366798,drugs_10_diversity_2,97.37146759033203,0.20328101515769958,0.9523810148239136,0.11247357726097107,0.968254029750824,0.09771732985973358,0.9841270446777344,0.07486224174499512,0.9841270446777344,0.13922345638275146,0.9365079998970032
drugs_10_diversity,3,5.747220993041992,43.13578125,6400,6393,1941,4459,1.0,1.0,1.0,0.37664589058383835,0.6880989180834621,0.5716709610485683,0.5088458183152774,0.5633457465557863,drugs_10_diversity_3,55.3117561340332,0.0479457788169384,1.0,0.08540255576372147,0.968254029750824,0.11529769003391266,0.9523810148239136,0.07198017835617065,0.9841270446777344,0.030009130015969276,1.0
drugs_10_diversity,4,5.742773056030273,43.51609375,6400,6398,1964,4436,1.0,1.0,1.0,0.3944516697232331,0.6732688391038697,0.5715582564201345,0.5061147533552921,0.5523830661743713,drugs_10_diversity_4,106.91270446777344,0.05720046907663345,1.0,0.07945746928453445,0.9841270446777344,0.03225049376487732,1.0,0.05842350795865059,0.9841270446777344,0.032539065927267075,0.9841270446777344
drugs_10_diversity,5,5.687889575958252,43.44546875,6400,6392,1899,4501,1.0,1.0,1.0,0.3963513961786199,0.6790416008425486,0.5612982664151467,0.511498907439724,0.5494039573792517,drugs_10_diversity_5,130.3564453125,0.05564652755856514,0.9841270446777344,0.0213289987295866,1.0,0.04070380702614784,1.0,0.056857939809560776,0.9841270446777344,0.037252504378557205,1.0
drugs_10_diversity,6,5.663330078125,42.6925,6400,6396,1937,4463,1.0,0.9994837377387713,1.0,0.3987649388662661,0.6750129065565307,0.5444823757315403,0.5072808414568931,0.5452772726442503,drugs_10_diversity_6,37.621028900146484,0.021635474637150764,1.0,0.03236786276102066,0.9841270446777344,0.01736711710691452,1.0,0.011200827546417713,1.0,0.015398316085338593,1.0
drugs_10_diversity,7,5.608780384063721,42.1771875,6400,6389,1887,4513,1.0,1.0,1.0,0.42148762499154074,0.6984631690514044,0.5444705861492081,0.49923956298215694,0.5565284623997372,drugs_10_diversity_7,60.110904693603516,0.022750070318579674,1.0,0.014535319060087204,1.0,0.012981798499822617,1.0,0.008355812169611454,1.0,0.012653794139623642,1.0
drugs_10_diversity,8,5.567135810852051,41.91265625,6400,6394,2028,4372,1.0,1.0,1.0,0.3830517098848918,0.6890039447731756,0.5248320149707089,0.5019449281087084,0.5504373012956685,drugs_10_diversity_8,59.39380645751953,0.020924050360918045,1.0,0.00755013432353735,1.0,0.011197604238986969,1.0,0.01472790353000164,1.0,0.007363113574683666,1.0
drugs_10_diversity,9,5.589151382446289,41.639375,6400,6395,1975,4425,0.999493670886076,0.999493670886076,0.9996455696202532,0.4286711787245879,0.6931645569620253,0.5207259339591865,0.5014395391017366,0.5502754477297654,drugs_10_diversity_9,112.89044189453125,0.007585747167468071,1.0,0.006430848967283964,1.0,0.02469148300588131,0.9841270446777344,0.06888444721698761,0.968254029750824,0.00855898018926382,1.0
