exp_name,Batch,test_loss,mean_length,n_samples,uniq_samples,good_samples,bad_samples,novelty,hard_novelty,soft_novelty,diversity,conciseness,solubility,naturalness,synthesizability,model_samples,neg-loglike,D_loss_0,Accuracy_0
smallmols_00_solubility,0,6.392820835113525,41.55753125,32000,31957,12820,19180,1.0,1.0,1.0,0.3712082123258873,0.9887363494539781,0.5547911848642155,0.5142418407671923,0.49932550853347546,smallmols_00_solubility_0,421.02593994140625,0,0
smallmols_00_solubility,1,6.390618801116943,40.15375,6400,6397,2866,3534,1.0,1.0,1.0,0.322609248090526,0.9912421493370551,0.591736798971723,0.5127243203344037,0.5403714802944972,smallmols_00_solubility_1,509.660888671875,0,0
smallmols_00_solubility,2,6.367690563201904,40.08359375,6400,6396,2940,3460,1.0,1.0,1.0,0.3718700545460191,0.9924149659863947,0.6258987279445276,0.517058159704213,0.5555876519446256,smallmols_00_solubility_2,498.8585205078125,0,0
smallmols_00_solubility,3,6.416937351226807,38.83609375,6400,6398,3216,3184,1.0,1.0,1.0,0.3553607437913904,0.9945584577114428,0.6412374246116537,0.5214620869242509,0.5768078808776811,smallmols_00_solubility_3,569.2036743164062,0,0
smallmols_00_solubility,4,6.502814769744873,36.7915625,6400,6394,3436,2964,1.0,1.0,1.0,0.356032382050414,0.9951688009313153,0.650015496076377,0.5224432768996753,0.6026811044400002,smallmols_00_solubility_4,539.3272705078125,0,0
smallmols_00_solubility,5,6.653576850891113,33.82140625,6400,6395,3983,2417,1.0,1.0,1.0,0.3715109090264837,0.996133567662566,0.6612575727131702,0.5388524996964401,0.6195454731688614,smallmols_00_solubility_5,546.0106201171875,0,0
smallmols_00_solubility,6,6.780022144317627,31.3553125,6400,6382,4121,2279,1.0,1.0,1.0,0.41677969094481887,0.9964571705896627,0.6719033059426454,0.5565065919477188,0.6581215280287708,smallmols_00_solubility_6,608.5701293945312,0,0
smallmols_00_solubility,7,6.7994537353515625,30.75140625,6400,6373,4313,2087,1.0,0.9997681428240204,1.0,0.4603230703991109,0.9967076281010898,0.7013576739444997,0.5664895301243501,0.6662465556110974,smallmols_00_solubility_7,592.8583984375,0,0
smallmols_00_solubility,8,6.819125175476074,30.50015625,6400,6357,4363,2037,0.99977079990832,0.9995415998166399,0.999839559935824,0.45531384593379737,0.9972037588815036,0.7330020388485654,0.5746046357892263,0.6878731504111493,smallmols_00_solubility_8,668.062255859375,0,0
smallmols_00_solubility,9,6.82347297668457,29.9175,6400,6331,4571,1829,1.0,1.0,1.0,0.5285672542142876,0.9980529424633559,0.743074434722884,0.5865244508043076,0.7046909099246512,smallmols_00_solubility_9,718.7503662109375,0,0
