exp_name,Batch,test_loss,mean_length,n_samples,uniq_samples,good_samples,bad_samples,novelty,hard_novelty,soft_novelty,diversity,conciseness,solubility,naturalness,synthesizability,model_samples,neg-loglike,D_loss_0,Accuracy_0,D_loss_1,Accuracy_1,D_loss_2,Accuracy_2,D_loss_3,Accuracy_3
smallmols_08_diversity,0,6.388171672821045,41.58065625,32000,31974,12766,19234,1.0,1.0,1.0,0.3731544524560273,0.9879915400282,0.5501238363183858,0.5099151615883865,0.5001603866001902,smallmols_08_diversity_0,120.85328674316406,0.027021285146474838,1.0,0.0075442311353981495,1.0,0.00769050233066082,1.0,0.010693110525608063,1.0
smallmols_08_diversity,1,6.580566883087158,37.32078125,6400,6397,2946,3454,0.9996605566870332,0.9996605566870332,0.9997623896809233,0.4006348259891481,0.9895790902919211,0.5369721319819801,0.5231084535731,0.540147443276189,smallmols_08_diversity_1,91.22257995605469,0.008424513041973114,1.0,0.04126168414950371,1.0,0.006915181875228882,1.0,0.015752550214529037,1.0
smallmols_08_diversity,2,6.820689678192139,32.79828125,6400,6392,3289,3111,1.0,1.0,1.0,0.4512539333208655,0.9921860747947705,0.525241416197053,0.5297201933003164,0.5876086043192799,smallmols_08_diversity_2,73.67143249511719,0.03491024672985077,1.0,0.005271154455840588,1.0,0.01382971927523613,1.0,0.01726783625781536,1.0
smallmols_08_diversity,3,7.017793655395508,28.755625,6400,6381,3672,2728,1.0,0.9997276688453159,1.0,0.4747814346139949,0.9935729847494553,0.5135913296227891,0.5450431448179835,0.6204639810038998,smallmols_08_diversity_3,110.19960021972656,0.004723217338323593,1.0,0.0044555687345564365,1.0,0.03222070634365082,1.0,0.0039057887624949217,1.0
smallmols_08_diversity,4,7.124699592590332,26.3196875,6400,6327,3902,2498,0.9997437211686314,0.9997437211686314,0.999820604818042,0.5256701879175688,0.9950281906714505,0.5159884843958132,0.5487911633808282,0.6440703211062331,smallmols_08_diversity_4,92.44558715820312,0.0036288995761424303,1.0,0.003186129266396165,1.0,0.002984637627378106,1.0,0.05190909281373024,0.9545454978942871
smallmols_08_diversity,5,7.198933124542236,24.63859375,6400,6261,4108,2292,1.0,0.9997565725413826,1.0,0.5800181526457105,0.9957156767283349,0.5098972124092283,0.5668336432876807,0.6517778515248533,smallmols_08_diversity_5,75.71490478515625,0.047562308609485626,0.9545454978942871,0.007822315208613873,1.0,0.0030686622485518456,1.0,0.007794404402375221,1.0
smallmols_08_diversity,6,7.305822849273682,22.52125,6400,6132,4367,2033,1.0,1.0,1.0,0.6017215998274706,0.9949851156400276,0.5137069787960369,0.5829693345268655,0.6690378622948695,smallmols_08_diversity_6,92.0118637084961,0.0029407052788883448,1.0,0.0054452503100037575,1.0,0.0025403229519724846,1.0,0.0022349082864820957,1.0
smallmols_08_diversity,7,7.3569536209106445,21.4159375,6400,6004,4583,1817,1.0,0.999563604625791,1.0,0.632472192552244,0.9958542439450142,0.5190019361526155,0.5957400623146608,0.6873222651582737,smallmols_08_diversity_7,96.5915298461914,0.0019402853213250637,1.0,0.002229205332696438,1.0,0.003987085074186325,1.0,0.022334879264235497,1.0
smallmols_08_diversity,8,7.430103302001953,19.73578125,6400,5737,4757,1643,1.0,0.9997897834769813,1.0,0.7143919327669448,0.9961740592810595,0.5090725782347286,0.6194471922515714,0.690029454507545,smallmols_08_diversity_8,87.5359115600586,0.14848659932613373,0.9545454978942871,0.0015763125848025084,1.0,0.0014403173699975014,1.0,0.002775454195216298,1.0
smallmols_08_diversity,9,7.486860275268555,18.4903125,6400,5495,4960,1440,1.0,1.0,1.0,0.7360524025899307,0.9955645161290323,0.5093900746977111,0.6346666788991465,0.6979195749490552,smallmols_08_diversity_9,83.35920715332031,0.006029771640896797,1.0,0.0037524858489632607,1.0,0.001202391809783876,1.0,0.0019712639041244984,1.0
smallmols_08_diversity,10,7.548013687133789,17.1610625,32000,21960,25227,6773,0.9999603599318191,0.9999603599318191,0.9999722519522733,0.8001412460329073,0.9969833908114323,0.51009096653961,0.646553300631475,0.7199026370236172,smallmols_08_diversity_10,104.33207702636719,0.002073773182928562,1.0,0.0011195121333003044,1.0,0.0033778524957597256,1.0,0.0020773501601070166,1.0
