exp_name,Batch,test_loss,mean_length,n_samples,uniq_samples,good_samples,bad_samples,novelty,hard_novelty,soft_novelty,diversity,conciseness,solubility,naturalness,synthesizability,model_samples,neg-loglike,D_loss_0,Accuracy_0,D_loss_1,Accuracy_1,D_loss_2,Accuracy_2,D_loss_3,Accuracy_3
toy_08_drug-candidate,0,8.842689514160156,13.74146875,32000,13003,24237,7763,0.4018649172752403,0.3116309774312002,0.5813054420926682,0.4663020447968599,0.9962990469117466,0.23172599881036726,0.6193887077657283,0.30665706979481416,toy_08_drug-candidate_0,235.60867309570312,0.4349512755870819,0.8214285969734192,0.43316179513931274,0.9285714626312256,0.5511943697929382,0.6785714626312256,0.49808984994888306,0.6785714626312256
toy_08_drug-candidate,1,8.966980934143066,13.1115625,6400,3833,5017,1383,0.3870839146900538,0.2884193741279649,0.5709587402830376,0.4916623979850801,0.9971098265895953,0.23457944060015118,0.6082746822193443,0.30528460289329706,toy_08_drug-candidate_1,224.1709442138672,0.3767920732498169,0.8571429252624512,0.3466684818267822,0.8571428656578064,0.41681304574012756,0.8571429252624512,0.2669341266155243,0.9642857313156128
toy_08_drug-candidate,2,9.036947250366211,12.72421875,6400,3671,5126,1274,0.4049941474834179,0.2945766679672259,0.5834959032383925,0.5124449338567649,0.997093250097542,0.23609319836438536,0.6084035249844434,0.3083423291943421,toy_08_drug-candidate_2,190.61672973632812,0.429818719625473,0.785714328289032,0.5105133652687073,0.7500000596046448,0.24868199229240417,0.8928571939468384,0.7515483498573303,0.5357142686843872
toy_08_drug-candidate,3,9.071470260620117,12.455,6400,3478,5164,1236,0.3909759876065066,0.2761425251742835,0.5736831913245546,0.47212858453051626,0.9975600309837335,0.23635000889360958,0.6118684325479644,0.31569504315973335,toy_08_drug-candidate_3,199.89927673339844,0.30165037512779236,0.8214285969734192,0.34565284848213196,0.7857142686843872,0.47564584016799927,0.7500000596046448,0.2417023628950119,0.9285714626312256
toy_08_drug-candidate,4,9.084981918334961,12.36265625,6400,3417,5247,1153,0.3920335429769392,0.2763483895559367,0.5744234800838575,0.5411692703507813,0.9969696969696971,0.23748553436557765,0.6155994621790352,0.31525868323898487,toy_08_drug-candidate_4,218.1300506591797,0.33710211515426636,0.8571429252624512,0.4845294952392578,0.7857142686843872,0.39323630928993225,0.785714328289032,0.46600019931793213,0.785714328289032
toy_08_drug-candidate,5,9.102877616882324,12.2403125,6400,3409,5216,1184,0.37212423312883436,0.2557515337423313,0.5604869631901841,0.5207880840039002,0.9977185582822087,0.2405708079228676,0.6139685145929893,0.3305165842500596,toy_08_drug-candidate_5,209.15872192382812,0.4476052224636078,0.75,0.3472803831100464,0.8571429252624512,0.46779191493988037,0.785714328289032,0.502680778503418,0.7857142686843872
toy_08_drug-candidate,6,9.089159965515137,12.29984375,6400,3399,5230,1170,0.38948374760994264,0.2766730401529637,0.5726386233269598,0.5325173126274029,0.9976099426386233,0.24444933238278171,0.6104774897143428,0.33631805789831865,toy_08_drug-candidate_6,162.175537109375,0.4056722819805145,0.785714328289032,0.42009031772613525,0.821428656578064,0.32025107741355896,0.821428656578064,0.3381277322769165,0.8928571939468384
toy_08_drug-candidate,7,9.074695587158203,12.34234375,6400,3473,5210,1190,0.39424184261036466,0.2861804222648752,0.5759692898272553,0.6185076251181439,0.9975239923224569,0.24745478452058106,0.6172268809050262,0.3407289434182688,toy_08_drug-candidate_7,167.35113525390625,0.34903258085250854,0.785714328289032,0.4050839841365814,0.8571428656578064,0.318389892578125,0.9285714626312256,0.5278475284576416,0.785714328289032
toy_08_drug-candidate,8,9.046427726745605,12.46625,6400,3499,5189,1211,0.4060512622856042,0.30391212179610716,0.5842358835999228,0.48655670330887263,0.9974176141838506,0.2473341127190347,0.6103330987789249,0.3428098513242576,toy_08_drug-candidate_8,206.21653747558594,0.28205350041389465,0.8928571939468384,0.3350980877876282,0.8928571939468384,0.31737419962882996,0.8928571939468384,0.4226961135864258,0.7142857313156128
toy_08_drug-candidate,9,9.027986526489258,12.54,6400,3586,5159,1241,0.4130645473929056,0.321186276410157,0.589145183175034,0.5170360111004063,0.997325062996705,0.2517576584747036,0.6095469521860116,0.34983397866995974,toy_08_drug-candidate_9,170.03350830078125,0.365574449300766,0.8214285373687744,0.4937252402305603,0.7142857313156128,0.3487449586391449,0.8214285969734192,0.41215258836746216,0.7857142686843872
toy_08_drug-candidate,10,9.023612976074219,12.57853125,32000,10518,25092,6908,0.4092140921409214,0.3144029969711462,0.5864498644986449,0.4768638781870226,0.9973178702375259,0.2504723197262799,0.6104080366468868,0.3534367562686918,toy_08_drug-candidate_10,143.30996704101562,0.4158453643321991,0.75,0.36594828963279724,0.821428656578064,0.27849262952804565,0.9285714626312256,0.49306806921958923,0.75
toy_08_drug-candidate,11,9.014318466186523,12.65671875,6400,3538,4995,1405,0.40540540540540543,0.3117117117117117,0.5837837837837837,0.43473265416934737,0.996996996996997,0.2517174533018417,0.6043129884143067,0.3578516238189536,toy_08_drug-candidate_11,164.22230529785156,0.4077449142932892,0.7500000596046448,0.27850857377052307,0.821428656578064,0.5344835519790649,0.6785714626312256,0.599193811416626,0.7142857313156128
toy_08_drug-candidate,12,9.011157035827637,12.65390625,6400,3539,5099,1301,0.4051774857815258,0.3094724455775642,0.583624240047068,0.5307346181234169,0.9968817415179446,0.25436565187615556,0.609390758673953,0.3614060647774737,toy_08_drug-candidate_12,194.41954040527344,0.42536085844039917,0.785714328289032,0.2802300751209259,0.9285714626312256,0.4482627213001251,0.75,0.45213618874549866,0.7500000596046448
toy_08_drug-candidate,13,9.031842231750488,12.606875,6400,3469,5124,1276,0.3950039032006245,0.3054254488680718,0.5765027322404371,0.4157612809976178,0.9967017954722873,0.2563980602372924,0.6059435482333564,0.3670091106132715,toy_08_drug-candidate_13,184.15667724609375,0.3886469900608063,0.8214285969734192,0.4484683573246002,0.785714328289032,0.2982275187969208,0.8214285969734192,0.4861025810241699,0.6428571939468384
toy_08_drug-candidate,14,9.058348655700684,12.4928125,6400,3342,5148,1252,0.37626262626262624,0.2896270396270396,0.5633838383838383,0.4773019731928026,0.9968531468531469,0.25714860649184157,0.6020095486922151,0.36691222086590036,toy_08_drug-candidate_14,181.2747039794922,0.39960598945617676,0.8214285373687744,0.4205446243286133,0.8214285969734192,0.33274179697036743,0.8571428656578064,0.3222310543060303,0.821428656578064
toy_08_drug-candidate,15,9.08471965789795,12.3571875,6400,3274,5175,1225,0.3592270531400966,0.28019323671497587,0.5514589371980675,0.522013110814871,0.9977004830917875,0.2571109109621807,0.6045918161982947,0.3683986143870435,toy_08_drug-candidate_15,210.61782836914062,0.4133463501930237,0.7500000596046448,0.6080982089042664,0.6071429252624512,0.3923914134502411,0.8214285969734192,0.3669600486755371,0.8214285969734192
toy_08_drug-candidate,16,9.06286907196045,12.46578125,6400,3334,5063,1337,0.3557179537823425,0.2739482520244914,0.5490025676476398,0.4759176250482005,0.9974323523602607,0.25769303423469025,0.6077110746747081,0.36637663858852415,toy_08_drug-candidate_16,189.24041748046875,0.45265135169029236,0.75,0.22242233157157898,0.9285714626312256,0.42836621403694153,0.8214285969734192,0.33422189950942993,0.785714328289032
toy_08_drug-candidate,17,9.074324607849121,12.37671875,6400,3340,5019,1381,0.36501295078700935,0.27973699940227137,0.5555090655509064,0.4869954048845472,0.9973699940227138,0.2590622567430107,0.6084027947008774,0.3714208145446651,toy_08_drug-candidate_17,177.7635955810547,0.4635222852230072,0.7142857313156128,0.38412046432495117,0.785714328289032,0.42362120747566223,0.7500000596046448,0.3955122232437134,0.785714328289032
toy_08_drug-candidate,18,9.056488990783691,12.5325,6400,3391,5019,1381,0.36620840804941224,0.28651125722255427,0.5563458856345885,0.5822495780418773,0.9969515839808728,0.257079064230577,0.6056767389534031,0.3721713344867757,toy_08_drug-candidate_18,182.46585083007812,0.2970691919326782,0.8928571939468384,0.37901073694229126,0.8214285969734192,0.5107589960098267,0.7857142686843872,0.3650047183036804,0.8571429252624512
toy_08_drug-candidate,19,9.053507804870605,12.48109375,6400,3331,5122,1278,0.3840296759078485,0.29812573213588445,0.568820773135494,0.4710185503987124,0.9969152674736431,0.2573561953073951,0.6116860477983016,0.37815855795090986,toy_08_drug-candidate_19,163.44979858398438,0.27481693029403687,0.8928571939468384,0.5037456154823303,0.7500000596046448,0.3493387699127197,0.8928571939468384,0.5444397330284119,0.75
toy_08_drug-candidate,20,9.064988136291504,12.39515625,32000,9575,25772,6228,0.38832841843861554,0.3041673133633401,0.5718298929070309,0.5357862822050632,0.9970239019090485,0.2573925472696979,0.6053699196441218,0.38409627037724364,toy_08_drug-candidate_20,197.07891845703125,0.5455196499824524,0.6785714626312256,0.42091572284698486,0.75,0.28635457158088684,0.9285714626312256,0.30849191546440125,0.8214285373687744
toy_08_drug-candidate,21,9.065009117126465,12.36171875,6400,3300,5216,1184,0.3941717791411043,0.3159509202453988,0.575920245398773,0.4931276255125714,0.9972200920245399,0.25772930543563005,0.6004784549271484,0.3893811103991652,toy_08_drug-candidate_21,165.39865112304688,0.5661836862564087,0.75,0.23979395627975464,0.8928571939468384,0.38368213176727295,0.785714328289032,0.5349292159080505,0.75
toy_08_drug-candidate,22,9.080583572387695,12.33140625,6400,3276,5168,1232,0.399187306501548,0.31191950464396284,0.5794311145510835,0.45777792166954323,0.996594427244582,0.2570326228989408,0.5974197773529115,0.3863776514401362,toy_08_drug-candidate_22,172.7959442138672,0.4394231140613556,0.785714328289032,0.3090292513370514,0.8571429252624512,0.5182116031646729,0.6785714626312256,0.2836490273475647,0.8571428656578064
toy_08_drug-candidate,23,9.112444877624512,12.1878125,6400,3160,5255,1145,0.38325404376784017,0.28772597526165555,0.5682778306374879,0.4368048320603175,0.9980209324452902,0.2558499029707796,0.599817013767184,0.3805650009742028,toy_08_drug-candidate_23,137.02476501464844,0.45966047048568726,0.7142857313156128,0.41292399168014526,0.8214285969734192,0.40939438343048096,0.7857142686843872,0.43481725454330444,0.75
toy_08_drug-candidate,24,9.130993843078613,12.07265625,6400,3130,5291,1109,0.37648837648837646,0.27064827064827063,0.5635418635418634,0.4749513566142654,0.9968058968058969,0.25430372116229616,0.5980723752656141,0.37398407672300177,toy_08_drug-candidate_24,179.37802124023438,0.47265860438346863,0.6071429252624512,0.35360437631607056,0.7857142686843872,0.4833952486515045,0.6785714626312256,0.4517270624637604,0.6785714626312256
toy_08_drug-candidate,25,9.15975284576416,11.85859375,6400,3045,5201,1199,0.36089213612766774,0.2489905787348587,0.5526244952893674,0.5038588225729028,0.9971543933858875,0.2527010274410597,0.6048607802505517,0.3738666916147297,toy_08_drug-candidate_25,168.9596710205078,0.503972589969635,0.8214285969734192,0.41602808237075806,0.7857142686843872,0.28540509939193726,0.9285714626312256,0.5088085532188416,0.75
toy_08_drug-candidate,26,9.189567565917969,11.7215625,6400,2967,5251,1149,0.37021519710531325,0.24814321081698723,0.5591506379737192,0.47646893372451066,0.9964197295753191,0.25246038362697115,0.6005097738874009,0.3720485404331368,toy_08_drug-candidate_26,169.1783905029297,0.48020321130752563,0.7142857313156128,0.34513261914253235,0.8214285969734192,0.32043248414993286,0.8928571939468384,0.474394828081131,0.7857142686843872
toy_08_drug-candidate,27,9.200689315795898,11.70796875,6400,2900,5281,1119,0.3531528119674304,0.23272107555387236,0.5472069683772013,0.49022421313879727,0.9966294262450295,0.2532650011087452,0.6039476595719682,0.3647314457496743,toy_08_drug-candidate_27,157.65843200683594,0.33396023511886597,0.8571429252624512,0.16145020723342896,0.9642857313156128,0.3713797926902771,0.8928571939468384,0.43310075998306274,0.7142857313156128
toy_08_drug-candidate,28,9.203917503356934,11.67859375,6400,2931,5244,1156,0.36155606407322655,0.2400839054157132,0.5530892448512585,0.447055852756911,0.9972921434019831,0.25153455889136817,0.6060328829915469,0.35611846876055175,toy_08_drug-candidate_28,184.880126953125,0.23795844614505768,0.9285714626312256,0.362419992685318,0.8214285969734192,0.41639676690101624,0.75,0.26178377866744995,0.8928571939468384
toy_08_drug-candidate,29,9.220144271850586,11.6240625,6400,2783,5303,1097,0.34716198378276447,0.2193098246275693,0.543013388647935,0.5018673286756333,0.9975108429191024,0.25352298301053444,0.6140753931951117,0.3544629725013847,toy_08_drug-candidate_29,145.60684204101562,0.1470639854669571,1.0,0.37918800115585327,0.785714328289032,0.2500515580177307,0.8928571939468384,0.4391949772834778,0.785714328289032
toy_08_drug-candidate,30,9.216886520385742,11.62571875,32000,8025,26387,5613,0.36104900140220564,0.23541895630424073,0.5527343009815439,0.5404370383672288,0.9973320195550839,0.2515282527039924,0.6197033622235796,0.34893158153228043,toy_08_drug-candidate_30,146.9733123779297,0.3363095223903656,0.8571428656578064,0.25619515776634216,0.8928571939468384,0.37206029891967773,0.785714328289032,0.44117027521133423,0.75
toy_08_drug-candidate,31,9.20971965789795,11.6371875,6400,2864,5297,1103,0.3620917500471965,0.23636020388899376,0.5534642250330375,0.4953721080411882,0.996941665093449,0.2499201925935977,0.6240348341080283,0.35097650378502754,toy_08_drug-candidate_31,137.01429748535156,0.3190387785434723,0.7857142686843872,0.43461984395980835,0.7142857313156128,0.3735905885696411,0.7857142686843872,0.1468890905380249,1.0
toy_08_drug-candidate,32,9.189385414123535,11.7540625,6400,2897,5156,1244,0.3640418929402638,0.25155159038013963,0.5548293250581846,0.529379180174882,0.9980023273855702,0.24859099026612014,0.6341100502043037,0.3489281907001813,toy_08_drug-candidate_32,143.79010009765625,0.37482529878616333,0.785714328289032,0.23192808032035828,0.8571429252624512,0.26691243052482605,0.8571429252624512,0.4122945964336395,0.8214285969734192
toy_08_drug-candidate,33,9.167468070983887,11.8984375,6400,3092,4957,1443,0.37421827718378053,0.26649182973572727,0.5619527940286463,0.5256140382630786,0.9974783134960662,0.24869620444961812,0.6461087793570763,0.33917410699412953,toy_08_drug-candidate_33,168.8594207763672,0.3375871181488037,0.8571428656578064,0.36879491806030273,0.8928571939468384,0.288563072681427,0.8571429252624512,0.4246295988559723,0.7857142686843872
toy_08_drug-candidate,34,9.133173942565918,12.0078125,6400,3204,4929,1471,0.3885169405558937,0.2866707242848448,0.5719618583891255,0.5530037320537523,0.9973828362751066,0.2468871460983958,0.6483938452653554,0.3411751334609667,toy_08_drug-candidate_34,175.74598693847656,0.3226553499698639,0.7500000596046448,0.14596961438655853,0.9285714626312256,0.2667078673839569,0.9285714626312256,0.5163384079933167,0.8571429252624512
toy_08_drug-candidate,35,9.144031524658203,11.934375,6400,3092,5051,1349,0.3741833300336567,0.27875668184517916,0.5619283310235595,0.4988873609369791,0.9980597901405663,0.24596779323692855,0.6504895273412128,0.34727923079667383,toy_08_drug-candidate_35,159.2760772705078,0.2824804186820984,0.8214285969734192,0.3112948536872864,0.8928571939468384,0.34115681052207947,0.8214285969734192,0.2730464041233063,0.8928571939468384
toy_08_drug-candidate,36,9.150491714477539,11.94953125,6400,3075,5252,1148,0.3857578065498858,0.28465346534653463,0.57003046458492,0.5513949163746359,0.9976580350342726,0.2479735171429366,0.6478575688156252,0.3476406143714605,toy_08_drug-candidate_36,180.6464385986328,0.4696807861328125,0.8214285969734192,0.4508344531059265,0.7142857313156128,0.2584626078605652,0.8928571939468384,0.21561045944690704,0.9285714626312256
toy_08_drug-candidate,37,9.162818908691406,11.88515625,6400,3067,5272,1128,0.3803110773899848,0.27921092564491656,0.5662177541729894,0.49835214650448395,0.9971737481031866,0.24833789994033553,0.6432868355014166,0.3471916295498679,toy_08_drug-candidate_37,169.23988342285156,0.4377861022949219,0.8214285969734192,0.3341134488582611,0.8571428656578064,0.43044009804725647,0.7500000596046448,0.23322811722755432,0.9285714626312256
toy_08_drug-candidate,38,9.144686698913574,11.98125,6400,3104,5287,1113,0.3762057877813505,0.28560620389634955,0.5633440514469452,0.45778488166609377,0.9978248534140344,0.24505038358387266,0.6481336415109545,0.3486878674898743,toy_08_drug-candidate_38,172.33694458007812,0.41354504227638245,0.8214285373687744,0.409774512052536,0.75,0.39642533659935,0.7857142686843872,0.3806621730327606,0.8571429252624512
toy_08_drug-candidate,39,9.141547203063965,11.9328125,6400,3121,5311,1089,0.36603276219167763,0.2750894370175108,0.5562229335341743,0.5128035472724141,0.9972886462059875,0.2461700204587334,0.6500518325778677,0.3472678054383858,toy_08_drug-candidate_39,150.44854736328125,0.4376581609249115,0.7142857313156128,0.259467214345932,0.8928571939468384,0.25126299262046814,0.8571428656578064,0.4826565682888031,0.7142857313156128
toy_08_drug-candidate,40,9.122115135192871,12.00953125,32000,8980,26656,5344,0.3677220888355342,0.2773859543817527,0.557405462184874,0.5479835852370258,0.9976215486194479,0.2466400292368986,0.6449875726257429,0.3515774710029798,toy_08_drug-candidate_40,179.34933471679688,0.2699270248413086,0.8571429252624512,0.37919795513153076,0.8214285373687744,0.27800625562667847,0.8928571939468384,0.3843972682952881,0.821428656578064
toy_08_drug-candidate,41,9.119404792785645,12.01453125,6400,3192,5328,1072,0.381006006006006,0.2877252252252252,0.5667042042042041,0.5217340151201086,0.9975975975975976,0.24642009038118623,0.6470764424567984,0.3537015026527738,toy_08_drug-candidate_41,145.43533325195312,0.4052092134952545,0.821428656578064,0.3319792151451111,0.7857142686843872,0.3989716172218323,0.785714328289032,0.48261022567749023,0.7142857313156128
toy_08_drug-candidate,42,9.102371215820312,12.12421875,6400,3288,5271,1129,0.38607474862454944,0.3022196926579397,0.5702523240371845,0.5300494780813172,0.997875166002656,0.24924909744871462,0.6412493282897709,0.3573316824806087,toy_08_drug-candidate_42,173.0816192626953,0.46206602454185486,0.7142857313156128,0.38996177911758423,0.7857142686843872,0.36176425218582153,0.7857142686843872,0.36075106263160706,0.8214285969734192
toy_08_drug-candidate,43,9.089818954467773,12.15453125,6400,3302,5248,1152,0.38833841463414637,0.3123094512195122,0.5718368902439024,0.5241006051898638,0.9978849085365855,0.247849113925208,0.6377287464366259,0.35853232851210237,toy_08_drug-candidate_43,166.31988525390625,0.4809885621070862,0.7142857313156128,0.5916216969490051,0.7142857313156128,0.3120383620262146,0.785714328289032,0.26698037981987,0.9285714626312256
toy_08_drug-candidate,44,9.052621841430664,12.34296875,6400,3339,5277,1123,0.4074284631419367,0.3321963236687512,0.5851999241993556,0.47107529511191254,0.9976691301876066,0.2483777784112787,0.6356170698613718,0.36277794291439897,toy_08_drug-candidate_44,173.52037048339844,0.515725314617157,0.75,0.3710119426250458,0.8214285969734192,0.28411152958869934,0.785714328289032,0.26317763328552246,0.9285714626312256
toy_08_drug-candidate,45,9.046282768249512,12.3959375,6400,3410,5184,1216,0.4070216049382716,0.3425925925925926,0.5849151234567901,0.5333207417213464,0.9978202160493826,0.24960459813654734,0.6354514110717577,0.3635194095837218,toy_08_drug-candidate_45,166.24365234375,0.40371185541152954,0.7142857313156128,0.3578328788280487,0.8571429252624512,0.2874363660812378,0.7857142686843872,0.4916343092918396,0.75
toy_08_drug-candidate,46,9.049020767211914,12.45078125,6400,3462,5149,1251,0.4111477956884832,0.3390949698970674,0.5878034569819381,0.491844500491817,0.9977471353660904,0.251218192384741,0.6258306593886608,0.36647586456069164,toy_08_drug-candidate_46,183.6436004638672,0.5722774863243103,0.6785714626312256,0.4560626745223999,0.6428571939468384,0.23766003549098969,0.8928571939468384,0.4433034360408783,0.75
toy_08_drug-candidate,47,9.063849449157715,12.3765625,6400,3336,5198,1202,0.38149288187764524,0.31762216237014235,0.5670450173143516,0.5009780766668769,0.9976914197768373,0.25195918228188086,0.6300620508933031,0.3693163299047064,toy_08_drug-candidate_47,178.5662078857422,0.3690780997276306,0.785714328289032,0.3580319285392761,0.785714328289032,0.4447825253009796,0.7142857313156128,0.6099824905395508,0.785714328289032
toy_08_drug-candidate,48,9.066329002380371,12.341875,6400,3326,5172,1228,0.3851508120649652,0.3122583139984532,0.5696055684454756,0.49255445771484374,0.9974864655839134,0.24990804350710535,0.6239870018289614,0.36529412171808345,toy_08_drug-candidate_48,164.87673950195312,0.326652854681015,0.821428656578064,0.6244210600852966,0.6785714626312256,0.36575251817703247,0.8214285969734192,0.41650357842445374,0.785714328289032
toy_08_drug-candidate,49,9.078166961669922,12.29578125,6400,3182,5286,1114,0.35716988270904276,0.2864169504351116,0.5500189178963298,0.4988386986896056,0.9970298902762011,0.24703877392132392,0.6191654156363617,0.3596497089646835,toy_08_drug-candidate_49,165.14279174804688,0.5120697617530823,0.7142857313156128,0.4174617826938629,0.7142857313156128,0.43259909749031067,0.7857142686843872,0.34362825751304626,0.8571429252624512
toy_08_drug-candidate,50,9.107048988342285,12.1930625,32000,8920,26247,5753,0.3464776926886882,0.2661256524555187,0.5425343848820817,0.4962665400189849,0.9972225397188249,0.246347434792095,0.6187027597444804,0.3552983894733227,toy_08_drug-candidate_50,151.59420776367188,0.3943468928337097,0.8214285969734192,0.41451334953308105,0.8214285969734192,0.3851456344127655,0.785714328289032,0.3605476915836334,0.8571429252624512
toy_08_drug-candidate,51,9.127399444580078,12.11796875,6400,3096,5294,1106,0.35077446165470344,0.26785039667548166,0.5455421231582923,0.39692218624095255,0.996769928220627,0.24678075276037595,0.6153100481898096,0.3554301412080079,toy_08_drug-candidate_51,159.4600372314453,0.2662900984287262,0.8571429252624512,0.3196990191936493,0.8571429252624512,0.2904658913612366,0.8214285969734192,0.4451383054256439,0.821428656578064
toy_08_drug-candidate,52,9.120650291442871,12.1009375,6400,2973,5297,1103,0.3267887483481216,0.24636586747215405,0.5287521238436851,0.4663175326060222,0.9968283934302435,0.24354438807794793,0.6143824598325343,0.34865244431672204,toy_08_drug-candidate_52,176.50537109375,0.4141543209552765,0.785714328289032,0.4121440649032593,0.75,0.4708346724510193,0.8571429252624512,0.22457638382911682,0.9285714626312256
toy_08_drug-candidate,53,9.127174377441406,12.0728125,6400,3043,5262,1138,0.3352337514253136,0.25275560623337134,0.5346636259977194,0.46872297830236426,0.9972633979475485,0.2461180215017191,0.615636859333601,0.35351488364095085,toy_08_drug-candidate_53,149.7564239501953,0.3541508615016937,0.8214285969734192,0.5017516016960144,0.7142857313156128,0.4445659816265106,0.7142857313156128,0.4889049530029297,0.7500000596046448
toy_08_drug-candidate,54,9.113180160522461,12.1696875,6400,3113,5297,1103,0.34755521993581273,0.25637153105531435,0.5432886539550688,0.4916993820953703,0.997205965640929,0.2444558975852534,0.614879546722207,0.34647940102206676,toy_08_drug-candidate_54,143.84498596191406,0.39521560072898865,0.8214285969734192,0.43763190507888794,0.75,0.5175081491470337,0.6785714626312256,0.26662448048591614,0.8571429252624512
toy_08_drug-candidate,55,9.149250030517578,12.0675,6400,3085,5322,1078,0.33953400977076287,0.2512213453588876,0.5376738068395339,0.44344654088018604,0.9969184517098836,0.24470122396929717,0.6070021661994911,0.34951897349943883,toy_08_drug-candidate_55,165.87551879882812,0.24555200338363647,0.9285714626312256,0.3261871337890625,0.7500000596046448,0.40098732709884644,0.75,0.37508895993232727,0.8214285969734192
toy_08_drug-candidate,56,9.142291069030762,12.08671875,6400,3008,5356,1044,0.33383121732636295,0.24719940253920836,0.533681852128454,0.4728516976731444,0.9972180731889471,0.2461617924521584,0.6158811151746806,0.34879489380198575,toy_08_drug-candidate_56,178.78890991210938,0.38010525703430176,0.785714328289032,0.2891368567943573,0.8928571939468384,0.376252681016922,0.8571428656578064,0.39191293716430664,0.785714328289032
toy_08_drug-candidate,57,9.13174057006836,12.089375,6400,3059,5407,993,0.348807101904938,0.26428703532457926,0.5441649713334565,0.5115676397337493,0.9973182911041243,0.24582988290779717,0.6137059228875446,0.3510069684273145,toy_08_drug-candidate_57,175.56121826171875,0.3523339033126831,0.8214285969734192,0.29662761092185974,0.8571429252624512,0.4167298972606659,0.7500000596046448,0.2873118221759796,0.8928571939468384
toy_08_drug-candidate,58,9.12158489227295,12.105625,6400,3080,5382,1018,0.33351913786696397,0.25659606094388704,0.5334633965068747,0.4459951097848952,0.9977703455964325,0.24692773812650606,0.6107826588690369,0.3564750479027767,toy_08_drug-candidate_58,161.71884155273438,0.43004077672958374,0.821428656578064,0.5531370639801025,0.6785714626312256,0.352157860994339,0.8214285969734192,0.273740291595459,0.8571429252624512
toy_08_drug-candidate,59,9.120209693908691,12.1271875,6400,3035,5363,1037,0.34383740443781463,0.26253962334514264,0.5406861831064702,0.4946814835438742,0.9977997389520791,0.24694559970632113,0.6155990565404177,0.356770025777266,toy_08_drug-candidate_59,175.91458129882812,0.40004709362983704,0.7857142686843872,0.38460975885391235,0.8571429252624512,0.42249447107315063,0.75,0.459963321685791,0.7142857313156128
