exp_name,Batch,test_loss,mean_length,n_samples,uniq_samples,good_samples,bad_samples,novelty,hard_novelty,soft_novelty,diversity,conciseness,solubility,naturalness,synthesizability,model_samples,neg-loglike,D_loss_0,Accuracy_0,D_loss_1,Accuracy_1,D_loss_2,Accuracy_2
drugs_06_synthesizability,0,5.644472599029541,44.01834375,32000,31933,9300,22700,1.0,1.0,1.0,0.3842647546405444,0.6834946236559138,0.5306688660748838,0.4966817435354742,0.53605357680354,drugs_06_synthesizability_0,309.6952209472656,2.3000831604003906,0.6349207162857056,1.4444355964660645,0.730158805847168,0.7893519401550293,0.8412699103355408
drugs_06_synthesizability,1,5.598316192626953,40.9665625,6400,6398,1939,4461,1.0,1.0,1.0,0.39657984615850894,0.7046415678184631,0.5176830878736581,0.5061856500334787,0.5462561422324859,drugs_06_synthesizability_1,543.240234375,0.5154705047607422,0.8412699103355408,0.41774213314056396,0.9206349849700928,0.3730667531490326,0.8730159401893616
drugs_06_synthesizability,2,5.63595724105835,39.088125,6400,6391,2198,4202,1.0,1.0,1.0,0.3848458741057208,0.7123748862602366,0.5278086553696894,0.5093246483734172,0.5696542272815032,drugs_06_synthesizability_2,336.396484375,0.15714280307292938,0.968254029750824,0.14921250939369202,0.9841270446777344,0.14866876602172852,0.9365079998970032
drugs_06_synthesizability,3,5.762231826782227,36.47,6400,6382,2761,3639,1.0,1.0,1.0,0.4001939306552376,0.7422672944585296,0.5531677593785209,0.4996391652511285,0.6292587058973359,drugs_06_synthesizability_3,292.05865478515625,0.08407413214445114,0.9841270446777344,0.09264632314443588,0.9841270446777344,0.14802277088165283,0.9365079998970032
drugs_06_synthesizability,4,5.8636016845703125,35.31,6400,6369,3013,3387,1.0,1.0,1.0,0.3824673848448167,0.748257550614006,0.5604415954624565,0.5004843058196992,0.6465585857970112,drugs_06_synthesizability_4,283.7410888671875,0.08590556681156158,0.9841270446777344,0.07244806736707687,0.968254029750824,0.07574949413537979,1.0
drugs_06_synthesizability,5,5.9734015464782715,34.819375,6400,6368,2925,3475,0.9996581196581197,0.9996581196581197,0.9997606837606838,0.3687685417354032,0.7543247863247862,0.5678382038737245,0.5025900003678446,0.6493433639048936,drugs_06_synthesizability_5,220.11720275878906,0.028689373284578323,1.0,0.022115230560302734,1.0,0.09078366309404373,0.968254029750824
drugs_06_synthesizability,6,6.017429351806641,33.66125,6400,6339,2926,3474,1.0,1.0,1.0,0.4260642246521171,0.7500341763499659,0.5581395944158339,0.5137365214116371,0.6555175216659728,drugs_06_synthesizability_6,246.31149291992188,0.13234201073646545,0.9206349849700928,0.050444312393665314,0.968254029750824,0.03429364785552025,1.0
drugs_06_synthesizability,7,6.051966667175293,32.75328125,6400,6299,3107,3293,1.0,1.0,1.0,0.40177375985854047,0.7629224332153202,0.552287657242672,0.5148055552284093,0.6663194417336716,drugs_06_synthesizability_7,186.53170776367188,0.04313061386346817,0.9841270446777344,0.03482207655906677,0.9841270446777344,0.06128302216529846,0.9841270446777344
drugs_06_synthesizability,8,6.072748184204102,31.555625,6400,6279,3452,2948,1.0,1.0,1.0,0.45829274967491324,0.7701332560834299,0.5510261524965021,0.5083130513308783,0.6865580442980215,drugs_06_synthesizability_8,210.9486846923828,0.010127952322363853,1.0,0.013450637459754944,1.0,0.008997672237455845,1.0
drugs_06_synthesizability,9,6.119091987609863,30.50390625,6400,6230,3842,2558,1.0,1.0,1.0,0.37471830513862747,0.7830296720458094,0.5478299171967818,0.5018510357338103,0.703337161047557,drugs_06_synthesizability_9,199.32107543945312,0.08448701351881027,0.968254029750824,0.01771821454167366,1.0,0.007370163686573505,1.0
drugs_06_synthesizability,10,6.130506992340088,28.89503125,32000,29840,20390,11610,0.9999019127023051,0.9999509563511525,0.9999313388916135,0.4227673583429031,0.7981167238842569,0.5307874431923065,0.49906487867026383,0.720642035331798,drugs_06_synthesizability_10,216.40660095214844,0.010198995471000671,1.0,0.02481921948492527,0.9841270446777344,0.020811859518289566,1.0
drugs_06_synthesizability,11,6.107674598693848,27.8715625,6400,6096,4192,2208,1.0,1.0,1.0,0.5010100426691906,0.8079437022900763,0.5197357788627996,0.4975926543528374,0.726543403123336,drugs_06_synthesizability_11,241.65692138671875,0.05769013613462448,0.968254029750824,0.013635601848363876,1.0,0.006609496660530567,1.0
drugs_06_synthesizability,12,6.056802749633789,26.24375,6400,5983,4129,2271,0.9995156212157907,0.9995156212157907,0.9996609348510536,0.48717141191061664,0.8243884717849357,0.504288304812318,0.5029939838644912,0.7389764646944078,drugs_06_synthesizability_12,196.68394470214844,0.006327126175165176,1.0,0.009391434490680695,1.0,0.002829600591212511,1.0
drugs_06_synthesizability,13,6.050356864929199,25.544375,6400,5854,4044,2356,1.0,1.0,1.0,0.5656433213528251,0.8201038575667656,0.4938594902053534,0.5100552463912748,0.7406610542566819,drugs_06_synthesizability_13,219.83984375,0.004762378521263599,1.0,0.003444907022640109,1.0,0.003834925591945648,1.0
