exp_name,Batch,test_loss,mean_length,n_samples,uniq_samples,good_samples,bad_samples,novelty,hard_novelty,soft_novelty,diversity,conciseness,solubility,naturalness,synthesizability,model_samples,neg-loglike,D_loss_0,Accuracy_0,D_loss_1,Accuracy_1,D_loss_2,Accuracy_2,D_loss_3,Accuracy_3,D_loss_4,Accuracy_4
drugs_10_drug-candidate,0,5.64348840713501,43.9251875,32000,31937,9251,22749,1.0,1.0,1.0,0.38226769874161826,0.6834828667171117,0.5265800870210011,0.4992127929036571,0.5338015517728774,drugs_10_drug-candidate_0,388.87005615234375,2.5606675148010254,0.571428656578064,1.43704092502594,0.7460318207740784,1.005859375,0.7619048357009888,0.5265361070632935,0.888888955116272,0.4080711603164673,0.8730159401893616
drugs_10_drug-candidate,1,5.63802433013916,45.1715625,6400,6397,1569,4831,1.0,1.0,1.0,0.3827695221525718,0.6770554493307839,0.5306015591061884,0.5104277216350456,0.5045453957663563,drugs_10_drug-candidate_1,627.598388671875,0.24772822856903076,0.9523810148239136,0.19379892945289612,0.968254029750824,0.26923373341560364,0.9047619700431824,0.1675116866827011,0.9365079998970032,0.11601463705301285,0.968254029750824
drugs_10_drug-candidate,2,5.6700520515441895,45.389375,6400,6396,1633,4767,1.0,1.0,1.0,0.36804072465559085,0.6759951010410287,0.5460457553457868,0.5062703468962009,0.5221200128043482,drugs_10_drug-candidate_2,88.62181854248047,0.1699393391609192,0.9523810148239136,0.09700088202953339,0.968254029750824,0.0920179933309555,0.9841270446777344,0.056018177419900894,1.0,0.09448223561048508,0.968254029750824
drugs_10_drug-candidate,3,5.727839469909668,43.8675,6400,6397,1892,4508,1.0,1.0,1.0,0.3887917535412696,0.6640063424947145,0.5748926729382775,0.5011431460121155,0.5519233654086625,drugs_10_drug-candidate_3,98.64309692382812,0.0742676705121994,0.968254029750824,0.0483996719121933,0.9841270446777344,0.04803619533777237,0.9841270446777344,0.05165823921561241,0.968254029750824,0.047985661774873734,1.0
drugs_10_drug-candidate,4,5.768795967102051,43.89484375,6400,6396,1999,4401,1.0,1.0,1.0,0.3610575717037308,0.6807903951975989,0.5728127044494329,0.5085180375697019,0.5603844066746797,drugs_10_drug-candidate_4,105.08820343017578,0.025287199765443802,1.0,0.03627758100628853,1.0,0.04331330209970474,0.9841270446777344,0.034764364361763,1.0,0.022637343034148216,1.0
drugs_10_drug-candidate,5,5.734982490539551,44.49421875,6400,6398,1876,4524,1.0,1.0,1.0,0.35741697098741076,0.6658848614072493,0.5801243137992761,0.5062926100622799,0.5483040092108913,drugs_10_drug-candidate_5,261.8251953125,0.10674510151147842,0.968254029750824,0.04433558136224747,1.0,0.022897694259881973,1.0,0.02096148207783699,1.0,0.016828402876853943,1.0
drugs_10_drug-candidate,6,5.75471305847168,44.30484375,6400,6391,1846,4554,1.0,1.0,1.0,0.40211917345244536,0.6791982665222102,0.5744219735762797,0.508715615635678,0.5559747655987877,drugs_10_drug-candidate_6,52.50981521606445,0.012495346367359161,1.0,0.019029222428798676,1.0,0.021775901317596436,1.0,0.01309697050601244,1.0,0.037583693861961365,0.9841270446777344
drugs_10_drug-candidate,7,5.738524913787842,44.5440625,6400,6395,1733,4667,1.0,1.0,1.0,0.3459565702089046,0.6664743219849971,0.5687194543121206,0.5089409108562054,0.5475266139454951,drugs_10_drug-candidate_7,90.71849822998047,0.013405542820692062,1.0,0.013352643698453903,1.0,0.01159643568098545,1.0,0.015511185862123966,1.0,0.011786971241235733,1.0
drugs_10_drug-candidate,8,5.715755462646484,44.42109375,6400,6388,1650,4750,1.0,1.0,1.0,0.42097472055779617,0.6743636363636364,0.566439467248796,0.5095985328657244,0.5473120595293923,drugs_10_drug-candidate_8,39.69256591796875,0.02686993032693863,1.0,0.01765873096883297,1.0,0.028077702969312668,1.0,0.019278855994343758,1.0,0.01050175167620182,1.0
drugs_10_drug-candidate,9,5.675494194030762,43.91953125,6400,6387,1676,4724,1.0,1.0,1.0,0.3581815910924351,0.7010143198090693,0.5577621164773009,0.5018774427127204,0.5656302656395537,drugs_10_drug-candidate_9,80.89947509765625,0.029206912964582443,1.0,0.023479416966438293,1.0,0.02630212903022766,0.9841270446777344,0.007027185056358576,1.0,0.009642144665122032,1.0
drugs_10_drug-candidate,10,5.677055835723877,42.7385625,32000,31857,9503,22497,1.0,1.0,1.0,0.38768355316743797,0.7026728401557403,0.5520978006611389,0.496393597984079,0.5709551915346371,drugs_10_drug-candidate_10,91.70750427246094,0.007962720468640327,1.0,0.009035204537212849,1.0,0.006703865714371204,1.0,0.007440061308443546,1.0,0.02017073705792427,1.0
drugs_10_drug-candidate,11,5.678225040435791,41.98859375,6400,6391,2044,4356,1.0,1.0,1.0,0.4441245608750709,0.7006849315068492,0.5598174649312712,0.48936297718544747,0.5879504700651078,drugs_10_drug-candidate_11,9.87013053894043,0.013394676148891449,1.0,0.04170083999633789,0.9841270446777344,0.014436638914048672,1.0,0.027489371597766876,0.9841270446777344,0.027767375111579895,0.9841270446777344
drugs_10_drug-candidate,12,5.680543422698975,41.970625,6400,6394,1956,4444,1.0,1.0,1.0,0.42180447327284437,0.707361963190184,0.5528223585157642,0.5032553221978101,0.5738364822403814,drugs_10_drug-candidate_12,40.53144073486328,0.011020185425877571,1.0,0.0050626336596906185,1.0,0.005880636163055897,1.0,0.0050231218338012695,1.0,0.05558070167899132,0.9841270446777344
drugs_10_drug-candidate,13,5.6946539878845215,41.150625,6400,6389,2088,4312,1.0,1.0,1.0,0.4536872913073996,0.7244252873563218,0.550225829224793,0.4917338665306851,0.6003596948630873,drugs_10_drug-candidate_13,16.914260864257812,0.01980418711900711,0.9841270446777344,0.006364390254020691,1.0,0.004373634234070778,1.0,0.006099047604948282,1.0,0.010152610018849373,1.0
drugs_10_drug-candidate,14,5.7437005043029785,41.0321875,6400,6387,2272,4128,0.9995598591549296,0.9995598591549296,0.9996919014084508,0.39898978581982947,0.713556338028169,0.5640333539198145,0.49553334573061303,0.6118518908179313,drugs_10_drug-candidate_14,29.750001907348633,0.005598562769591808,1.0,0.007637801580131054,1.0,0.0068143378011882305,1.0,0.013894441537559032,1.0,0.005745207890868187,1.0
drugs_10_drug-candidate,15,5.773735523223877,40.59328125,6400,6382,2382,4018,1.0,1.0,1.0,0.36730329365362135,0.726448362720403,0.5607837634156901,0.49252747145501596,0.6167645608208449,drugs_10_drug-candidate_15,67.5074462890625,0.009511994197964668,1.0,0.02831408940255642,0.9841270446777344,0.004007447976619005,1.0,0.014683316461741924,1.0,0.0037113605067133904,1.0
drugs_10_drug-candidate,16,5.811666965484619,41.055625,6400,6382,2299,4101,0.9991300565463245,0.9991300565463245,0.9993910395824271,0.4252128355023116,0.7264027838190518,0.5712596462738614,0.4948991060322997,0.6237363598751563,drugs_10_drug-candidate_16,34.888587951660156,0.004695357754826546,1.0,0.007982770912349224,1.0,0.004436657764017582,1.0,0.020600181072950363,0.9841270446777344,0.003871276043355465,1.0
drugs_10_drug-candidate,17,5.833611488342285,40.995,6400,6380,2362,4038,1.0,1.0,1.0,0.3646937197435164,0.7165114309906859,0.5758960831506467,0.5012505511749197,0.6181158213635578,drugs_10_drug-candidate_17,28.922420501708984,0.006842778064310551,1.0,0.0044834003783762455,1.0,0.004019729793071747,1.0,0.005637677386403084,1.0,0.0036524988245218992,1.0
drugs_10_drug-candidate,18,5.850165367126465,40.96578125,6400,6381,2278,4122,0.9995610184372257,0.9995610184372257,0.999692712906058,0.34902144995083456,0.7177348551360843,0.5776775995165195,0.4975203225443702,0.625099593528853,drugs_10_drug-candidate_18,19.653587341308594,0.007999248802661896,1.0,0.005290167406201363,1.0,0.014591995626688004,1.0,0.0030535932164639235,1.0,0.00350371771492064,1.0
drugs_10_drug-candidate,19,5.8388543128967285,41.41265625,6400,6374,2235,4165,0.9991051454138703,0.9991051454138703,0.9993736017897091,0.36524800948047764,0.7297091722595078,0.5789731652846167,0.49332482038312236,0.6334231662908575,drugs_10_drug-candidate_19,30.8254451751709,0.0032558084931224585,1.0,0.009536483325064182,1.0,0.004277531057596207,1.0,0.014834070578217506,1.0,0.003666591364890337,1.0
drugs_10_drug-candidate,20,5.833017349243164,41.8499375,32000,31720,11110,20890,0.9998199819981998,0.9998199819981998,0.9998739873987399,0.4188155399831747,0.7218451845184517,0.5892732884087966,0.4898534506630604,0.636705231296408,drugs_10_drug-candidate_20,32.3979606628418,0.004639618564397097,1.0,0.0031882179901003838,1.0,0.005234141834080219,1.0,0.004678300581872463,1.0,0.011048438958823681,1.0
drugs_10_drug-candidate,21,5.844459056854248,42.3978125,6400,6384,2143,4257,1.0,1.0,1.0,0.37483693689888914,0.7333644423705086,0.5936742842928563,0.4856232123434336,0.6500074888441258,drugs_10_drug-candidate_21,23.126588821411133,0.005437670275568962,1.0,0.004427866078913212,1.0,0.0031094648875296116,1.0,0.004594731610268354,1.0,0.0036490955390036106,1.0
