exp_name,Batch,test_loss,mean_length,n_samples,uniq_samples,good_samples,bad_samples,novelty,hard_novelty,soft_novelty,diversity,conciseness,solubility,naturalness,synthesizability,model_samples,neg-loglike,D_loss_0,Accuracy_0
smallmols_02_novelty,0,6.383139610290527,41.62196875,32000,31979,12773,19227,1.0,1.0,1.0,0.37229751896606256,0.987872856807328,0.5549762420069267,0.5112288975177882,0.5017674738842421,smallmols_02_novelty_0,543.94287109375,0.01074041984975338,1.0
smallmols_02_novelty,1,6.680873394012451,36.15875,6400,6399,3294,3106,1.0,1.0,1.0,0.3602514963491204,0.9902246508803887,0.5212592394124523,0.515801926013624,0.5453509767729131,smallmols_02_novelty_1,643.744873046875,0.01033910270780325,1.0
smallmols_02_novelty,2,6.878949165344238,32.38359375,6400,6393,3758,2642,0.9994678020223523,0.9994678020223523,0.9996274614156466,0.43683697888435113,0.9923629590207558,0.5095864767092861,0.523324329668881,0.5755652899490901,smallmols_02_novelty_2,707.552978515625,0.04824865981936455,1.0
smallmols_02_novelty,3,6.981771469116211,30.663125,6400,6381,4026,2374,1.0,1.0,1.0,0.43803801629920486,0.9930948832588177,0.5100540949254456,0.5319697392352819,0.5823923128850879,smallmols_02_novelty_3,736.3148803710938,0.0063611287623643875,1.0
smallmols_02_novelty,4,7.0235514640808105,29.86953125,6400,6378,4101,2299,1.0,1.0,1.0,0.44290133205090515,0.9938551572787125,0.5207436384151679,0.5384534502380695,0.5945758943422692,smallmols_02_novelty_4,659.6336669921875,0.023028381168842316,1.0
smallmols_02_novelty,5,7.1250200271606445,28.04296875,6400,6348,4412,1988,1.0,1.0,1.0,0.4669301901063982,0.9952402538531279,0.5097194855770758,0.5478081022075884,0.5980520052595204,smallmols_02_novelty_5,650.4578247070312,0.004655963741242886,1.0
smallmols_02_novelty,6,7.199540615081787,26.25703125,6400,6314,4589,1811,1.0,1.0,1.0,0.5044300474035956,0.9955763782959248,0.5051634557915998,0.5537414481761875,0.6219592743632543,smallmols_02_novelty_6,645.26025390625,0.004650362767279148,1.0
smallmols_02_novelty,7,7.277955532073975,24.6625,6400,6238,4831,1569,0.9993790105568205,0.9993790105568205,0.9995653073897743,0.5565575808919738,0.9972055475056925,0.4938091974925016,0.5652259722681237,0.6244334364933934,smallmols_02_novelty_7,587.8582153320312,0.004798755049705505,1.0
smallmols_02_novelty,8,7.352404594421387,22.92734375,6400,6099,4993,1407,0.9995994392149009,0.9995994392149009,0.9997196074504306,0.5462694506360982,0.9981173643100342,0.4900410890599261,0.5660718613484376,0.6473853955587541,smallmols_02_novelty_8,648.4746704101562,0.0035383831709623337,1.0
smallmols_02_novelty,9,7.413415908813477,22.008125,6400,5948,5204,1196,0.999423520368947,0.999423520368947,0.9995964642582628,0.5858356677945863,0.9971368178324367,0.48826399331965625,0.5693095847405197,0.6595365845158611,smallmols_02_novelty_9,599.6549072265625,0.005379735957831144,1.0
smallmols_02_novelty,10,7.481335163116455,20.8020625,32000,25836,26309,5691,0.9996959215477593,0.9996199019346992,0.9997871450834316,0.5930451349145172,0.9979398684860695,0.48214791076646535,0.5783131817536393,0.6714391288045423,smallmols_02_novelty_10,622.0941162109375,0.005383689887821674,1.0
smallmols_02_novelty,11,7.491452693939209,20.17171875,6400,5641,5288,1112,0.999054462934947,0.999054462934947,0.999338124054463,0.6057700634671237,0.9981278366111952,0.48210304307719826,0.5829121722572957,0.6807671745098771,smallmols_02_novelty_11,578.1009521484375,0.0020024923142045736,1.0
smallmols_02_novelty,12,7.519503593444824,19.858125,6400,5557,5273,1127,0.9990517731841456,0.9990517731841456,0.999336241228902,0.6259500056118469,0.998274227195145,0.4800606895035856,0.5856975972487067,0.6839880103312682,smallmols_02_novelty_12,646.989013671875,0.023825135082006454,1.0
smallmols_02_novelty,13,7.515376091003418,19.68609375,6400,5480,5334,1066,0.9990626171728534,0.9990626171728534,0.9993438320209974,0.5846256836066996,0.9979940007499063,0.47674832593203426,0.590742261697558,0.6831704432075545,smallmols_02_novelty_13,587.814453125,0.001598428818397224,1.0
smallmols_02_novelty,14,7.488286018371582,19.6446875,6400,5534,5346,1054,0.9990647212869435,0.9990647212869435,0.9993453049008605,0.5682649850605527,0.9987841376730265,0.476692261503154,0.5918359930083991,0.6771220854599355,smallmols_02_novelty_14,536.1852416992188,0.0017915692878887057,1.0
smallmols_02_novelty,15,7.501793384552002,19.34234375,6400,5439,5358,1042,0.9996267263904441,0.9996267263904441,0.999738708473311,0.6648165073458763,0.9984322508398656,0.4771123433466138,0.5950967413438301,0.6794362392618893,smallmols_02_novelty_15,532.400634765625,0.0019780187867581844,1.0
smallmols_02_novelty,16,7.509410381317139,19.015,6400,5361,5464,936,0.9998169838945827,0.9996339677891655,0.9998718887262079,0.606327883720879,0.9988103953147877,0.47765270478136346,0.6011512347908247,0.688070459017583,smallmols_02_novelty_16,595.0612182617188,0.0014815233880653977,1.0
