exp_name,Batch,test_loss,mean_length,n_samples,uniq_samples,good_samples,bad_samples,novelty,hard_novelty,soft_novelty,diversity,conciseness,solubility,naturalness,synthesizability,model_samples,neg-loglike,D_loss_0,Accuracy_0,D_loss_1,Accuracy_1,D_loss_2,Accuracy_2
smallmols_06_solubility,0,6.387499809265137,41.5785,32000,31966,12754,19246,1.0,1.0,1.0,0.37253198740987775,0.9886074956876275,0.5527432568092857,0.5105160533184773,0.5044114634244311,smallmols_06_solubility_0,211.59832763671875,0.0519314669072628,1.0,0.009715836495161057,1.0,0.01222081296145916,1.0
smallmols_06_solubility,1,6.667072296142578,36.25203125,6400,6395,2932,3468,1.0,1.0,1.0,0.3294842975489845,0.9903478854024556,0.5531370953811526,0.5336100387006868,0.5554205056656588,smallmols_06_solubility_1,179.9122772216797,0.022396955639123917,1.0,0.009385094046592712,1.0,0.006503854412585497,1.0
smallmols_06_solubility,2,6.76284646987915,33.91609375,6400,6394,3518,2882,1.0,1.0,1.0,0.4070731264606652,0.9909891984081866,0.5749160857691655,0.5337892902065469,0.5927888435126916,smallmols_06_solubility_2,215.90187072753906,0.007561725098639727,1.0,0.014960749074816704,1.0,0.008200176060199738,1.0
smallmols_06_solubility,3,6.885133743286133,30.77390625,6400,6386,3973,2427,0.9997483010319658,0.9997483010319658,0.9998238107223761,0.3877706130970189,0.9926000503397936,0.5806733966706132,0.5279263125972685,0.6469461012296276,smallmols_06_solubility_3,266.5523986816406,0.014422370120882988,1.0,0.03944965824484825,1.0,0.011290195398032665,1.0
smallmols_06_solubility,4,6.937817573547363,29.7490625,6400,6363,4136,2264,0.9995164410058027,0.9995164410058027,0.999661508704062,0.3727419627298149,0.992504835589942,0.5833010173042732,0.5263880119153107,0.6736867336133504,smallmols_06_solubility_4,214.96798706054688,0.008847163990139961,1.0,0.004754239693284035,1.0,0.00394977442920208,1.0
smallmols_06_solubility,5,6.941135883331299,29.035,6400,6364,4350,2050,0.9997701149425288,0.9997701149425288,0.9998390804597701,0.3714421038142535,0.9928275862068968,0.5980050477344049,0.5324272078261043,0.6876690907714378,smallmols_06_solubility_5,228.6353759765625,0.007953943684697151,1.0,0.004016997292637825,1.0,0.014229782857000828,1.0
smallmols_06_solubility,6,6.978568077087402,28.38,6400,6322,4559,1841,0.9997806536521167,0.9997806536521167,0.9998464575564817,0.3748608172638882,0.9952182496161438,0.6128352655663284,0.5228161213835243,0.7153655527078696,smallmols_06_solubility_6,224.27645874023438,0.00871596485376358,1.0,0.008302932605147362,1.0,0.0030985597986727953,1.0
smallmols_06_solubility,7,7.019631385803223,27.5621875,6400,6256,4840,1560,0.9995867768595041,0.9995867768595041,0.9997107438016529,0.39009732878265113,0.9949586776859505,0.6200046314147761,0.5231720464952084,0.7357670543574782,smallmols_06_solubility_7,228.25070190429688,0.0032451413571834564,1.0,0.002717504510655999,1.0,0.003574986010789871,1.0
smallmols_06_solubility,8,7.0169358253479,27.4246875,6400,6208,4879,1521,0.9993851199016192,0.9993851199016192,0.9995695839311334,0.3406145455614422,0.9956548473047754,0.6349335661979499,0.5226329153595165,0.7530687176555562,smallmols_06_solubility_8,226.92074584960938,0.004299648106098175,1.0,0.0043612937442958355,1.0,0.0035644378513097763,1.0
smallmols_06_solubility,9,7.034336090087891,26.9446875,6400,6156,4963,1437,1.0,1.0,1.0,0.3985797423189289,0.996534354221237,0.6433826767307108,0.5223950558900773,0.7668350593737824,smallmols_06_solubility_9,209.18087768554688,0.006209565792232752,1.0,0.002644479041919112,1.0,0.017795521765947342,1.0
smallmols_06_solubility,10,7.045709133148193,26.648375,32000,28555,24704,7296,0.9996761658031088,0.9996761658031088,0.9997733160621762,0.39772299353338675,0.9970328691709844,0.6523957170886321,0.5252814585255396,0.7753707615631311,smallmols_06_solubility_10,224.38742065429688,0.0021332514006644487,1.0,0.0021933247335255146,1.0,0.002324898261576891,1.0
smallmols_06_solubility,11,7.066462516784668,26.2809375,6400,6010,4946,1454,0.9997978164173069,0.9997978164173069,0.9998584714921149,0.39752580105905133,0.9970279013344115,0.6603629420315421,0.5257314819971232,0.782513853268952,smallmols_06_solubility_11,215.2958221435547,0.0022886209189891815,1.0,0.0018649329431355,1.0,0.002038795966655016,1.0
smallmols_06_solubility,12,7.087461948394775,25.69640625,6400,5884,5017,1383,0.9992027107833367,0.9992027107833367,0.9994418975483356,0.4348076631972255,0.9981861670320908,0.6680591805913512,0.5213565606875618,0.8005465190787292,smallmols_06_solubility_12,197.07217407226562,0.015661749988794327,1.0,0.0035016611218452454,1.0,0.0015586584340780973,1.0
smallmols_06_solubility,13,7.115212440490723,24.9728125,6400,5725,5129,1271,1.0,0.9998050302203159,1.0,0.3927051469839021,0.998732696432053,0.6714424497573026,0.520146171890373,0.81528951247901,smallmols_06_solubility_13,201.70960998535156,0.0012274787295609713,1.0,0.001798783428966999,1.0,0.0011959440307691693,1.0
smallmols_06_solubility,14,7.155989170074463,24.34265625,6400,5578,5296,1104,0.9996223564954683,0.9996223564954683,0.9997356495468278,0.38998416640550554,0.9988481873111782,0.6759435737718835,0.5215600116651983,0.82841834530581,smallmols_06_solubility_14,201.08750915527344,0.002314201556146145,1.0,0.001305537880398333,1.0,0.0013865588698536158,1.0
smallmols_06_solubility,15,7.193514347076416,24.01,6400,5476,5323,1077,0.9992485440541048,0.9992485440541048,0.9994739808378735,0.5604234791004441,0.9988352432838623,0.6827622516782027,0.5301734486898271,0.8318256287966629,smallmols_06_solubility_15,204.2225341796875,0.001176113379187882,1.0,0.001366394804790616,1.0,0.001114992774091661,1.0
smallmols_06_solubility,16,7.222480297088623,23.85296875,6400,5338,5430,970,0.9994475138121547,0.9994475138121547,0.9996132596685082,0.42223982584076114,0.9988213627992634,0.6883249906087731,0.5364049559147634,0.8355232806390822,smallmols_06_solubility_16,201.4949188232422,0.004614218603819609,1.0,0.001193441217765212,1.0,0.001238543656654656,1.0
smallmols_06_solubility,17,7.233518123626709,23.88546875,6400,5303,5469,931,0.9992686048637777,0.9992686048637777,0.9994880234046444,0.5137309328504064,0.9988846224172608,0.7038551068200704,0.552512515874324,0.8386541966011416,smallmols_06_solubility_17,195.87911987304688,0.000941326143220067,1.0,0.0011284606298431754,1.0,0.0008752119611017406,1.0
smallmols_06_solubility,18,7.226784706115723,24.14421875,6400,5293,5488,912,0.9998177842565598,0.9998177842565598,0.9998724489795918,0.4886268852382121,0.9992529154518951,0.722159471531555,0.5564931218653272,0.8394086407019729,smallmols_06_solubility_18,197.38990783691406,0.0009800358675420284,1.0,0.0009992840932682157,1.0,0.0022022840566933155,1.0
smallmols_06_solubility,19,7.208837985992432,24.08578125,6400,5221,5520,880,0.9994565217391305,0.9994565217391305,0.9996195652173913,0.5461348855527433,0.9991847826086957,0.7388857085679321,0.5636164392536992,0.8449948296401014,smallmols_06_solubility_19,205.79539489746094,0.0007154393824748695,1.0,0.0007268312619999051,1.0,0.0008034460479393601,1.0
smallmols_06_solubility,20,7.2081804275512695,24.58940625,32000,22097,27511,4489,0.9997455563229254,0.9997455563229254,0.9998218894260477,0.5341971567537431,0.9991567009559813,0.7559719987234451,0.5747302112151192,0.8455312048231616,smallmols_06_solubility_20,194.49301147460938,0.0007103384123183787,1.0,0.0013318766141310334,1.0,0.0006906439666636288,1.0
smallmols_06_solubility,21,7.176910877227783,25.56,6400,5284,5497,903,0.9998180825905039,0.9998180825905039,0.9998726578133528,0.5254971939729156,0.9993450973258142,0.7828102945875893,0.5895996786211907,0.8348339825918559,smallmols_06_solubility_21,232.00144958496094,0.0007718054112046957,1.0,0.0006420289282687008,1.0,0.0007061654468998313,1.0
smallmols_06_solubility,22,7.132637977600098,26.36984375,6400,5426,5522,878,0.9994567185802246,0.9992756247736327,0.9996197030061571,0.5423403706264628,0.999583484244839,0.8094314104000562,0.5927421353411331,0.8358830872053357,smallmols_06_solubility_22,247.14480590820312,0.0004819097521249205,1.0,0.0006803097785450518,1.0,0.0007166280993260443,1.0
smallmols_06_solubility,23,7.030153274536133,27.32359375,6400,5550,5513,887,1.0,1.0,1.0,0.5117639480638434,0.9993288590604027,0.8304816854852289,0.5983211586083834,0.826019478187088,smallmols_06_solubility_23,230.02102661132812,0.0030719409696757793,1.0,0.0008112507057376206,1.0,0.0010966130066663027,1.0
smallmols_06_solubility,24,6.968242645263672,27.975625,6400,5663,5482,918,1.0,1.0,1.0,0.5679837466798218,0.9995986866107259,0.8454917619071943,0.6048193430469109,0.8177189326273836,smallmols_06_solubility_24,250.13796997070312,0.0007364075281657279,1.0,0.0005644593620672822,1.0,0.0005550566711463034,1.0
smallmols_06_solubility,25,6.908468246459961,28.64765625,6400,5769,5469,931,1.0,1.0,1.0,0.5595578596231792,0.9993417443774,0.8605663522908314,0.6086132797858512,0.8136412997999192,smallmols_06_solubility_25,277.83880615234375,0.0004277570405974984,1.0,0.0005394245963543653,1.0,0.0005186180351302028,1.0
smallmols_06_solubility,26,6.780200004577637,29.79015625,6400,5893,5433,967,1.0,0.999815939628198,1.0,0.6211974590641549,0.9994662249217744,0.8830626988901996,0.6130496437073124,0.804170215938913,smallmols_06_solubility_26,263.7412109375,0.0005707356613129377,1.0,0.00047872518189251423,1.0,0.0004841879417654127,1.0
smallmols_06_solubility,27,6.686166286468506,30.6590625,6400,5994,5338,1062,1.0,0.9998126639190709,1.0,0.5890399171376645,0.9996815286624204,0.9022239599145663,0.6154547270825308,0.795633448567018,smallmols_06_solubility_27,266.6379699707031,0.0006197681650519371,1.0,0.00041323789628222585,1.0,0.0006005616742186248,1.0
smallmols_06_solubility,28,6.57908821105957,32.113125,6400,6098,5347,1053,1.0,1.0,1.0,0.6308810688092591,0.9997755750888349,0.921785047093154,0.6293412782062118,0.7858525964919604,smallmols_06_solubility_28,312.62823486328125,0.00045388960279524326,1.0,0.0007882013451308012,1.0,0.00032517637009732425,1.0
smallmols_06_solubility,29,6.4990644454956055,33.26515625,6400,6128,5298,1102,1.0,1.0,1.0,0.6512419765793892,0.9995469988674972,0.9348398307093476,0.6336404799882925,0.7748695338332166,smallmols_06_solubility_29,317.5455627441406,0.0004300515865907073,1.0,0.0003577594179660082,1.0,0.00037852866807952523,1.0
smallmols_06_solubility,30,6.400010585784912,34.9914375,32000,29097,26134,5866,1.0,1.0,1.0,0.7015053168895434,0.99959057166909,0.9515209410351514,0.6470067017297602,0.7621548058135803,smallmols_06_solubility_30,309.2417297363281,0.00035315967397764325,1.0,0.0011154789244756103,1.0,0.00034892160329036415,1.0
smallmols_06_solubility,31,6.223050117492676,38.0778125,6400,6273,5085,1315,1.0,1.0,1.0,0.7270469066109786,0.9995673549655851,0.9702272063985302,0.6638078728589989,0.736056819454083,smallmols_06_solubility_31,343.4447937011719,0.00026194445672445,1.0,0.00030356505885720253,1.0,0.00022772183001507074,1.0
smallmols_06_solubility,32,6.040696620941162,40.79421875,6400,6348,4870,1530,1.0,1.0,1.0,0.6935112742695687,0.9996509240246405,0.9772238698962349,0.6681864869566468,0.716763530240092,smallmols_06_solubility_32,349.20599365234375,0.00019185710698366165,1.0,0.0001991008612094447,1.0,0.0002475077926646918,1.0
smallmols_06_solubility,33,5.971254825592041,41.52859375,6400,6331,4866,1534,1.0,1.0,1.0,0.6753087079499912,0.9996506370735717,0.98177245390134,0.6779598934811089,0.7107800912646924,smallmols_06_solubility_33,317.48040771484375,0.0002565401664469391,1.0,0.0001886787504190579,1.0,0.0002122333535226062,1.0
smallmols_06_solubility,34,6.03043270111084,41.014375,6400,6321,4944,1456,1.0,1.0,1.0,0.7214385937924087,0.9996763754045307,0.9820351564149188,0.6826688411757932,0.7190993406836003,smallmols_06_solubility_34,318.8681335449219,0.00016696078819222748,1.0,0.00020772477728314698,1.0,0.0001600474788574502,1.0
smallmols_06_solubility,35,6.0081467628479,41.80859375,6400,6318,4923,1477,1.0,1.0,1.0,0.669346986841587,0.9994515539305302,0.984486208048582,0.6912366175713498,0.7174907511335211,smallmols_06_solubility_35,337.9228515625,0.00025208049919456244,1.0,0.00015427837206516415,1.0,0.00020564654550980777,1.0
smallmols_06_solubility,36,5.879803657531738,44.218125,6400,6358,4619,1781,1.0,1.0,1.0,0.7262483228269442,0.9995670058454211,0.9898062049507041,0.6979809934986756,0.7058243678292255,smallmols_06_solubility_36,318.7490234375,0.0002911781193688512,1.0,0.0001214809890370816,1.0,0.0001750321825966239,1.0
smallmols_06_solubility,37,5.855473041534424,44.96625,6400,6335,4569,1831,1.0,1.0,1.0,0.7743628479575945,0.999255854672795,0.9904140174520879,0.7090768916759824,0.7122965807268615,smallmols_06_solubility_37,337.6952209472656,0.00021295396436471492,1.0,0.00016312088700942695,1.0,0.00019853889534715563,1.0
smallmols_06_solubility,38,5.7741193771362305,46.429375,6400,6327,4428,1972,1.0,1.0,1.0,0.7909502924748189,0.9993224932249323,0.9928349424015234,0.7117586788703103,0.7099758350540564,smallmols_06_solubility_38,317.0971374511719,0.0001247645413968712,1.0,0.00010059665510198101,1.0,0.00010965176625177264,1.0
smallmols_06_solubility,39,5.773464202880859,46.6340625,6400,6334,4474,1926,1.0,1.0,1.0,0.8035291510514189,0.9994412159141708,0.9941289260875319,0.7175304974198881,0.7175504646373085,smallmols_06_solubility_39,288.180419921875,0.00012470730871427804,1.0,0.00011271679977653548,1.0,0.00010510318679735065,1.0
smallmols_06_solubility,40,5.811426639556885,45.802375,32000,30495,22995,9005,1.0,1.0,1.0,0.7513086270315672,0.9995085888236573,0.9940463291881576,0.7213256350194996,0.7216753373262781,smallmols_06_solubility_40,283.7904357910156,0.00010098044003825635,1.0,0.00011238698789384216,1.0,0.00010875597945414484,1.0
smallmols_06_solubility,41,5.725402355194092,46.52734375,6400,6321,4620,1780,1.0,1.0,1.0,0.792080804024808,0.9994805194805195,0.9957108733242217,0.7253956058270271,0.7218943364951363,smallmols_06_solubility_41,306.5032958984375,9.144079376710579e-05,1.0,0.00014298516907729208,1.0,9.070103988051414e-05,1.0
smallmols_06_solubility,42,5.758782863616943,45.5121875,6400,6242,4764,1636,1.0,1.0,1.0,0.7245293867894976,0.9992443324937029,0.9945908034384546,0.7276395227949669,0.7332379217834055,smallmols_06_solubility_42,297.2759094238281,0.00015016265388112515,1.0,0.00010365385969635099,1.0,8.710335532668978e-05,1.0
smallmols_06_solubility,43,5.907243251800537,43.16765625,6400,6115,5100,1300,1.0,1.0,1.0,0.8016201554184341,0.9995490196078431,0.993427394111436,0.7271464522423947,0.7500441569086972,smallmols_06_solubility_43,304.4578552246094,8.61573571455665e-05,1.0,6.656748155364767e-05,1.0,0.0001122072571888566,1.0
