exp_name,Batch,test_loss,mean_length,n_samples,uniq_samples,good_samples,bad_samples,novelty,hard_novelty,soft_novelty,diversity,conciseness,solubility,naturalness,synthesizability,model_samples,neg-loglike,D_loss_0,Accuracy_0,D_loss_1,Accuracy_1,D_loss_2,Accuracy_2,D_loss_3,Accuracy_3
smallmols_08_novelty,0,6.390979290008545,41.50325,32000,31955,12877,19123,1.0,1.0,1.0,0.3737048333682365,0.9886541896404442,0.5508010062675904,0.5152746389628108,0.4967354601244382,smallmols_08_novelty_0,213.021484375,0.0531059205532074,1.0,0.013746481388807297,1.0,0.01271009910851717,1.0,0.05058063566684723,1.0
smallmols_08_novelty,1,6.723962306976318,34.64046875,6400,6396,3186,3214,0.9996861268047709,0.9996861268047709,0.9997802887633397,0.3508218846184341,0.9917765222849969,0.5314493606450645,0.5259431016156955,0.5632324721042865,smallmols_08_novelty_1,193.09225463867188,0.009157484397292137,1.0,0.008679322898387909,1.0,0.007935335859656334,1.0,0.06422767043113708,0.9545454978942871
smallmols_08_novelty,2,6.7992119789123535,32.3196875,6400,6391,3180,3220,1.0,1.0,1.0,0.454663473343981,0.994811320754717,0.5453576219151357,0.5414766357174818,0.5816395047715192,smallmols_08_novelty_2,161.7943878173828,0.016586294397711754,1.0,0.005399790592491627,1.0,0.026602070778608322,1.0,0.013758040964603424,1.0
smallmols_08_novelty,3,6.908602714538574,29.8225,6400,6385,3375,3025,1.0,1.0,1.0,0.45594670456661623,0.9957333333333334,0.5554262940842488,0.5643089149108262,0.5933676096524465,smallmols_08_novelty_3,178.66769409179688,0.038954488933086395,0.9545454978942871,0.025017574429512024,1.0,0.005373692139983177,1.0,0.004738897085189819,1.0
smallmols_08_novelty,4,6.997645378112793,28.355625,6400,6372,3664,2736,1.0,1.0,1.0,0.4863911177806193,0.9962882096069869,0.5607035054045183,0.5796223520343768,0.5992442744243591,smallmols_08_novelty_4,164.1531524658203,0.0035008382983505726,1.0,0.003344741417095065,1.0,0.004887763410806656,1.0,0.003279338823631406,1.0
smallmols_08_novelty,5,7.063805103302002,27.303125,6400,6346,3963,2437,0.9997476659096644,0.9997476659096644,0.9998233661367651,0.4647637672719183,0.9964168559172345,0.557004975897829,0.5917987928064135,0.595668389078587,smallmols_08_novelty_5,140.89950561523438,0.004382554441690445,1.0,0.0030730124562978745,1.0,0.00895882397890091,1.0,0.0034023362677544355,1.0
smallmols_08_novelty,6,7.136979579925537,25.7596875,6400,6314,4126,2274,1.0,1.0,1.0,0.5014994710876456,0.9952738730004848,0.549901882969526,0.6058429157984292,0.6066333804702462,smallmols_08_novelty_6,163.58583068847656,0.00232082512229681,1.0,0.006037266459316015,1.0,0.01986088417470455,1.0,0.0018625421216711402,1.0
smallmols_08_novelty,7,7.187816619873047,24.61328125,6400,6256,4277,2123,1.0,0.999766191255553,1.0,0.5446182346355996,0.9961889174655134,0.5489453061717222,0.6113783032756991,0.6201259663449576,smallmols_08_novelty_7,153.44395446777344,0.002095993608236313,1.0,0.0022303161676973104,1.0,0.002211146056652069,1.0,0.0034391824156045914,1.0
smallmols_08_novelty,8,7.222040176391602,23.54734375,6400,6209,4512,1888,1.0,1.0,1.0,0.5287151225007405,0.9964539007092199,0.5450621292303511,0.6263257941697613,0.6266023584711811,smallmols_08_novelty_8,167.21449279785156,0.0021722561214119196,1.0,0.0024834503419697285,1.0,0.0019745638128370047,1.0,0.002320756670087576,1.0
smallmols_08_novelty,9,7.224843978881836,23.20125,6400,6133,4626,1774,1.0,1.0,1.0,0.5512309189950416,0.9952226545611759,0.5379831402862388,0.6197748679599903,0.6291743437374805,smallmols_08_novelty_9,178.3203887939453,0.0044014835730195045,1.0,0.0026793750002980232,1.0,0.003587127197533846,1.0,0.0016039266483858228,1.0
