exp_name,Batch,test_loss,mean_length,n_samples,uniq_samples,good_samples,bad_samples,novelty,hard_novelty,soft_novelty,diversity,conciseness,solubility,naturalness,synthesizability,model_samples,neg-loglike,D_loss_0,Accuracy_0,D_loss_1,Accuracy_1
toy_04_novelty,0,8.847201347351074,13.69596875,32000,12944,24371,7629,0.40531779574083954,0.3169750933486521,0.5837224570185877,0.46767527469611037,0.9980283944031841,0.2314124707098741,0.6170495417055597,0.30659582657599577,toy_04_novelty_0,208.24969482421875,0.4828313887119293,0.7142857313156128,0.5954874157905579,0.75
toy_04_novelty,1,8.928228378295898,13.11640625,6400,3868,4794,1606,0.4071756362119316,0.2849395077179808,0.5850229453483521,0.5428845365327556,0.9978306216103463,0.22980192616242,0.6218454230622016,0.305854186235734,toy_04_novelty_1,180.8038330078125,0.5529720187187195,0.7142857313156128,0.48915377259254456,0.6785714030265808
toy_04_novelty,2,8.939231872558594,12.94015625,6400,3816,4225,2175,0.44260355029585796,0.29633136094674556,0.6098224852071006,0.5727442289705457,0.9977278106508874,0.2300402439480958,0.6449409972636716,0.2914399643338506,toy_04_novelty_2,160.1562957763672,0.24629513919353485,0.9285714030265808,0.32518041133880615,0.8571428656578064
toy_04_novelty,3,8.951044082641602,12.813125,6400,3647,3970,2430,0.4672544080604534,0.33123425692695213,0.6270780856423174,0.5748920105680339,0.9979093198992444,0.22679399905074304,0.6599987891903344,0.28281000832534675,toy_04_novelty_3,152.7257537841797,0.41014859080314636,0.8571428656578064,0.23434361815452576,0.8928571343421936
toy_04_novelty,4,8.965414047241211,12.7578125,6400,3597,4006,2394,0.4710434348477284,0.33025461807289064,0.62973040439341,0.6136314927607954,0.9978532201697454,0.22798739901580686,0.6570981088998153,0.2840199648630772,toy_04_novelty_4,170.4678497314453,0.2255360335111618,0.8928571343421936,0.3360670208930969,0.8571428656578064
toy_04_novelty,5,8.971870422363281,12.68578125,6400,3649,4156,2244,0.4971126082771896,0.3474494706448508,0.6479788257940328,0.5968578986835116,0.9975336862367661,0.22846387238487262,0.6507295766866419,0.28811427414349094,toy_04_novelty_5,185.96484375,0.5535922050476074,0.7142857313156128,0.3469323515892029,0.8214285969734192
toy_04_novelty,6,8.973084449768066,12.65734375,6400,3599,4328,2072,0.5115526802218114,0.3567467652495379,0.658086876155268,0.6302605441667948,0.9983017560073937,0.2261914253744808,0.6429114906811815,0.28950141765621396,toy_04_novelty_6,163.14413452148438,0.33603110909461975,0.8571428656578064,0.4086773693561554,0.7857142686843872
toy_04_novelty,7,8.990901947021484,12.5796875,6400,3437,4672,1728,0.5139126712328768,0.3585188356164384,0.6597388698630136,0.6604905687676703,0.998662243150685,0.22722475030513342,0.6325271856372806,0.2978473820628677,toy_04_novelty_7,183.15786743164062,0.3731291592121124,0.8214285969734192,0.2771817445755005,0.8928571343421936
toy_04_novelty,8,8.973926544189453,12.67390625,6400,3565,4736,1664,0.5166807432432432,0.36465371621621623,0.6616765202702702,0.5653435552679416,0.998342483108108,0.22342856286121587,0.6316548746851898,0.29276958451207835,toy_04_novelty_8,185.3930206298828,0.1883225291967392,0.9285714030265808,0.40667828917503357,0.8214285969734192
toy_04_novelty,9,9.006969451904297,12.51625,6400,3478,4874,1526,0.5151826015592942,0.37033237587197376,0.6606278210915059,0.5849928057826812,0.9985945835043087,0.22415075088421857,0.631701564879695,0.2919641506506494,toy_04_novelty_9,180.91033935546875,0.2591301202774048,0.8928571343421936,0.33795231580734253,0.8571428656578064
toy_04_novelty,10,9.0045804977417,12.55190625,32000,10943,24074,7926,0.521600066461743,0.38701503696934453,0.66512004652322,0.5393540511396109,0.9983031486250727,0.2233905888578247,0.6301002900915622,0.287941868839456,toy_04_novelty_10,191.56178283691406,0.21290864050388336,0.9285714030265808,0.24771001935005188,0.8571428656578064
