exp_name,Batch,test_loss,mean_length,n_samples,uniq_samples,ratio_of_steps,melodicity,tonality,model_samples,neg-loglike,D_loss_0,Accuracy_0
music80_00_tonality,0,8.384536743164062,107.79696875,32000,31596,0.2736513658838845,0.10317207383959746,0.05744517663797079,music80_00_tonality_0,422.414794921875,0,0
music80_00_tonality,1,8.318146705627441,114.71171875,6400,6355,0.27293688291860946,0.10297409137311035,0.05745781297368763,music80_00_tonality_1,412.5458984375,0,0
music80_00_tonality,2,8.242537498474121,122.901875,6400,6351,0.2721684247156723,0.10393469618549979,0.058384466176491526,music80_00_tonality_2,408.46539306640625,0,0
music80_00_tonality,3,8.142934799194336,128.03515625,6400,6344,0.2691798806064225,0.1043191852105273,0.05890452852700927,music80_00_tonality_3,484.03033447265625,0,0
music80_00_tonality,4,8.115213394165039,130.2378125,6400,6358,0.26663952892670734,0.10558863853193763,0.06032401024380109,music80_00_tonality_4,479.13702392578125,0,0
music80_00_tonality,5,8.109086036682129,130.1053125,6400,6350,0.26978547971452577,0.1057714217743887,0.06066062852045669,music80_00_tonality_5,566.3712158203125,0,0
music80_00_tonality,6,8.084778785705566,129.63578125,6400,6354,0.2673339196297466,0.10843725163985778,0.06260028492998174,music80_00_tonality_6,492.5972900390625,0,0
music80_00_tonality,7,8.068282127380371,130.1553125,6400,6362,0.26704334647365185,0.10813795881205465,0.06316032538622335,music80_00_tonality_7,527.0181274414062,0,0
music80_00_tonality,8,8.081619262695312,128.46859375,6400,6358,0.26277689764225065,0.1111479982791263,0.06488305496735262,music80_00_tonality_8,538.8336791992188,0,0
music80_00_tonality,9,8.077722549438477,128.8490625,6400,6356,0.26263489803107853,0.10939855771742896,0.06500719457812702,music80_00_tonality_9,595.7129516601562,0,0
music80_00_tonality,10,8.070907592773438,129.155,32000,31616,0.2605294505436914,0.11188674111608334,0.06598215236593935,music80_00_tonality_10,575.32666015625,0,0
music80_00_tonality,11,8.074166297912598,128.07546875,6400,6349,0.25930674199485615,0.11437301709997665,0.06845485149439759,music80_00_tonality_11,576.8270263671875,0,0
music80_00_tonality,12,8.06589412689209,126.5878125,6400,6350,0.25733759837261255,0.11510464160950486,0.06857387156622287,music80_00_tonality_12,536.3795776367188,0,0
music80_00_tonality,13,8.064956665039062,127.41640625,6400,6355,0.25657602126390644,0.11720835469678098,0.06982451841815002,music80_00_tonality_13,625.1571044921875,0,0
music80_00_tonality,14,8.080109596252441,126.9528125,6400,6334,0.2559700518574036,0.11903449135465284,0.07170566222194387,music80_00_tonality_14,578.463623046875,0,0
music80_00_tonality,15,8.065947532653809,127.23734375,6400,6347,0.2520416487199796,0.11828068593053777,0.0722015991211225,music80_00_tonality_15,645.8939819335938,0,0
