exp_name,Batch,test_loss,mean_length,n_samples,uniq_samples,ratio_of_steps,melodicity,tonality,model_samples,neg-loglike,D_loss_0,Accuracy_0
music80_02_ratio-of-steps,0,8.403517723083496,116.5876875,32000,31558,0.28041697659180026,0.10351640128825468,0.05133249306772093,music80_02_ratio-of-steps_0,1534.30908203125,0.6265577077865601,1.0
music80_02_ratio-of-steps,1,8.369726181030273,129.0796875,6400,6336,0.2889284438133863,0.10549404360989785,0.05088283279626531,music80_02_ratio-of-steps_1,1837.587646484375,0.6024144291877747,1.0
music80_02_ratio-of-steps,2,8.340062141418457,141.1646875,6400,6339,0.29281573958247464,0.10270388859574572,0.049247575948624646,music80_02_ratio-of-steps_2,1719.0546875,0.5776804685592651,1.0
music80_02_ratio-of-steps,3,8.359662055969238,144.7640625,6400,6342,0.2977794131576198,0.10232610758604943,0.049075788737399616,music80_02_ratio-of-steps_3,1977.266845703125,0.548028826713562,1.0
music80_02_ratio-of-steps,4,8.377026557922363,147.1653125,6400,6349,0.304520046478673,0.10200464743549155,0.04856279280349471,music80_02_ratio-of-steps_4,1871.5645751953125,0.5217832326889038,1.0
music80_02_ratio-of-steps,5,8.398294448852539,146.69015625,6400,6349,0.30774381795678424,0.1025749730064825,0.048195041572735346,music80_02_ratio-of-steps_5,1784.686279296875,0.496502161026001,1.0
music80_02_ratio-of-steps,6,8.45303726196289,142.11078125,6400,6350,0.3136800812670339,0.10139088361840354,0.04732380306357371,music80_02_ratio-of-steps_6,1854.50537109375,0.4767851233482361,1.0
music80_02_ratio-of-steps,7,8.470481872558594,141.1496875,6400,6347,0.3181757605018615,0.09900556190001801,0.045984674088975844,music80_02_ratio-of-steps_7,1946.1412353515625,0.44845178723335266,1.0
music80_02_ratio-of-steps,8,8.512951850891113,138.07921875,6400,6328,0.3193710629286285,0.09929377673515326,0.04572761711747069,music80_02_ratio-of-steps_8,1990.913818359375,0.4273395538330078,1.0
music80_02_ratio-of-steps,9,8.551077842712402,137.08640625,6400,6339,0.32289600375443683,0.1001789535417944,0.04559709975099249,music80_02_ratio-of-steps_9,1859.472900390625,0.405514657497406,1.0
music80_02_ratio-of-steps,10,8.565730094909668,138.9506875,32000,31605,0.32639167356268933,0.09817722501408971,0.04478781145185222,music80_02_ratio-of-steps_10,1719.741943359375,0.3815620541572571,1.0
music80_02_ratio-of-steps,11,8.607247352600098,139.3775,6400,6345,0.32972919270851164,0.09637882558174704,0.04377563171617707,music80_02_ratio-of-steps_11,1876.2127685546875,0.36082544922828674,1.0
music80_02_ratio-of-steps,12,8.589518547058105,142.0459375,6400,6342,0.3378969823077792,0.0976089011553044,0.044547477484736205,music80_02_ratio-of-steps_12,1714.059326171875,0.34459179639816284,1.0
music80_02_ratio-of-steps,13,8.601293563842773,141.448125,6400,6331,0.3408474787507015,0.09541097712042337,0.043021160308564614,music80_02_ratio-of-steps_13,1920.48779296875,0.3248325288295746,1.0
music80_02_ratio-of-steps,14,8.642075538635254,139.385625,6400,6348,0.34527580949431036,0.09619581257504997,0.04349453365722351,music80_02_ratio-of-steps_14,1833.400146484375,0.3070864975452423,1.0
music80_02_ratio-of-steps,15,8.63271427154541,137.94140625,6400,6344,0.3533285796334236,0.09490344860823434,0.04236677863610616,music80_02_ratio-of-steps_15,1873.579345703125,0.2848323583602905,1.0
music80_02_ratio-of-steps,16,8.647351264953613,136.469375,6400,6332,0.3560902871379592,0.09513700868784873,0.04249317088192755,music80_02_ratio-of-steps_16,1897.5887451171875,0.2735688090324402,1.0
music80_02_ratio-of-steps,17,8.647339820861816,135.88703125,6400,6351,0.3617962003196077,0.0957753182860524,0.04319738286187377,music80_02_ratio-of-steps_17,1941.3580322265625,0.25202876329421997,1.0
music80_02_ratio-of-steps,18,8.67645263671875,131.91625,6400,6346,0.3688075789691878,0.09371625232438884,0.041109524101406655,music80_02_ratio-of-steps_18,1829.3922119140625,0.23857685923576355,1.0
music80_02_ratio-of-steps,19,8.675945281982422,131.95359375,6400,6353,0.3778214812830498,0.09426089885720972,0.041830560963590564,music80_02_ratio-of-steps_19,1775.3892822265625,0.22165697813034058,1.0
music80_02_ratio-of-steps,20,8.679122924804688,127.25771875,32000,31559,0.38164569710923657,0.09363466856090613,0.041423614937902156,music80_02_ratio-of-steps_20,1932.3642578125,0.2087043970823288,1.0
music80_02_ratio-of-steps,21,8.68161678314209,128.02953125,6400,6337,0.3900417384964704,0.09155894684951921,0.04028366129369385,music80_02_ratio-of-steps_21,1980.09033203125,0.19555748999118805,1.0
music80_02_ratio-of-steps,22,8.657554626464844,127.87703125,6400,6332,0.390744587038132,0.09098742286882602,0.03988993522523302,music80_02_ratio-of-steps_22,1948.986083984375,0.1834723949432373,1.0
music80_02_ratio-of-steps,23,8.662882804870605,127.38296875,6400,6335,0.39924953588727274,0.09123934667066509,0.040240984294801295,music80_02_ratio-of-steps_23,1820.7672119140625,0.16784895956516266,1.0
music80_02_ratio-of-steps,24,8.67765998840332,125.81890625,6400,6347,0.40558919529456333,0.09076169916312064,0.038973960465722476,music80_02_ratio-of-steps_24,2039.348388671875,0.16403020918369293,1.0
music80_02_ratio-of-steps,25,8.68044376373291,125.73640625,6400,6332,0.40939764249261784,0.09009503324115795,0.03887441490751886,music80_02_ratio-of-steps_25,2052.75341796875,0.14443151652812958,1.0
music80_02_ratio-of-steps,26,8.657955169677734,128.92859375,6400,6349,0.4145116472668887,0.08963569097902817,0.03872441650613558,music80_02_ratio-of-steps_26,1938.271728515625,0.13601580262184143,1.0
music80_02_ratio-of-steps,27,8.637482643127441,127.46421875,6400,6325,0.41603901554891026,0.08943163247895101,0.037919597972201985,music80_02_ratio-of-steps_27,1901.61083984375,0.12839528918266296,1.0
music80_02_ratio-of-steps,28,8.635021209716797,128.8228125,6400,6344,0.4214030355387205,0.08810781746400229,0.03809386527592066,music80_02_ratio-of-steps_28,1926.84521484375,0.1160280629992485,1.0
music80_02_ratio-of-steps,29,8.616767883300781,132.211875,6400,6346,0.427383767285035,0.08797872522670444,0.03817004309910005,music80_02_ratio-of-steps_29,2020.7154541015625,0.10880757868289948,1.0
music80_02_ratio-of-steps,30,8.604736328125,131.55871875,32000,31604,0.4305748831594661,0.08580299688783458,0.036781008862305356,music80_02_ratio-of-steps_30,1928.005859375,0.10027454048395157,1.0
music80_02_ratio-of-steps,31,8.580841064453125,133.361875,6400,6338,0.43491171193210343,0.08563499134591553,0.03650204843807757,music80_02_ratio-of-steps_31,2000.818359375,0.09306485950946808,1.0
music80_02_ratio-of-steps,32,8.588105201721191,133.07234375,6400,6357,0.43803183876763074,0.08411530730020622,0.03567705704908557,music80_02_ratio-of-steps_32,1921.87646484375,0.08529464900493622,1.0
music80_02_ratio-of-steps,33,8.568544387817383,132.73359375,6400,6353,0.4439767401298206,0.08416437123795445,0.035819008132349645,music80_02_ratio-of-steps_33,1942.579345703125,0.07822190970182419,1.0
music80_02_ratio-of-steps,34,8.593769073486328,130.9428125,6400,6357,0.44993773849210184,0.08214828749394666,0.03444294828194108,music80_02_ratio-of-steps_34,1887.2410888671875,0.07231184095144272,1.0
music80_02_ratio-of-steps,35,8.578139305114746,130.93296875,6400,6356,0.455498505058767,0.08103687838530156,0.034274936531243985,music80_02_ratio-of-steps_35,2356.4580078125,0.06753581017255783,1.0
music80_02_ratio-of-steps,36,8.594745635986328,131.6009375,6400,6354,0.45639828231040014,0.08057964925712581,0.03397996862046465,music80_02_ratio-of-steps_36,1921.907470703125,0.06063896045088768,1.0
music80_02_ratio-of-steps,37,8.586453437805176,131.27015625,6400,6345,0.4628016395650171,0.07768069010845019,0.032602654942675245,music80_02_ratio-of-steps_37,2293.625732421875,0.060089245438575745,1.0
music80_02_ratio-of-steps,38,8.560484886169434,135.0990625,6400,6361,0.46711380177635675,0.0774423818076391,0.03145012480910364,music80_02_ratio-of-steps_38,2162.2568359375,0.05064982920885086,1.0
music80_02_ratio-of-steps,39,8.550789833068848,135.3825,6400,6348,0.47076302764876743,0.07523779526550363,0.03163685715621214,music80_02_ratio-of-steps_39,2162.421142578125,0.04631444439291954,1.0
music80_02_ratio-of-steps,40,8.539785385131836,138.78659375,32000,31728,0.4757526816051567,0.07505833979165286,0.030466967225317682,music80_02_ratio-of-steps_40,2284.466796875,0.04240041971206665,1.0
music80_02_ratio-of-steps,41,8.524186134338379,139.649375,6400,6357,0.4811485586353269,0.07408880207759445,0.029254652328342498,music80_02_ratio-of-steps_41,2443.6591796875,0.038844913244247437,1.0
music80_02_ratio-of-steps,42,8.511207580566406,141.44078125,6400,6363,0.4807748584079768,0.07278566613095648,0.029384796875054128,music80_02_ratio-of-steps_42,2083.25341796875,0.03534240275621414,1.0
music80_02_ratio-of-steps,43,8.539209365844727,140.640625,6400,6358,0.483579999847134,0.07371941709813898,0.029297232723112437,music80_02_ratio-of-steps_43,2179.19384765625,0.03217237815260887,1.0
music80_02_ratio-of-steps,44,8.511999130249023,142.26671875,6400,6368,0.483386123405153,0.0728202740217215,0.029148809659701777,music80_02_ratio-of-steps_44,2168.84912109375,0.029335418716073036,1.0
music80_02_ratio-of-steps,45,8.500622749328613,142.79328125,6400,6346,0.48346581272962763,0.07159891174693174,0.029020066466792407,music80_02_ratio-of-steps_45,2140.431640625,0.026747025549411774,1.0
music80_02_ratio-of-steps,46,8.539135932922363,143.50921875,6400,6356,0.4850111347147583,0.07211586567932823,0.02861715794614769,music80_02_ratio-of-steps_46,2050.108642578125,0.024202469736337662,1.0
music80_02_ratio-of-steps,47,8.545860290527344,143.06296875,6400,6348,0.48298733312635883,0.07150126609191652,0.02841819583449747,music80_02_ratio-of-steps_47,2415.506591796875,0.022048505023121834,1.0
music80_02_ratio-of-steps,48,8.532820701599121,147.34453125,6400,6367,0.4887087396295644,0.07048606293235675,0.028255413558227284,music80_02_ratio-of-steps_48,2591.752197265625,0.01985650695860386,1.0
music80_02_ratio-of-steps,49,8.522293090820312,149.65921875,6400,6366,0.4950458883219141,0.07057626022339435,0.02808917843997489,music80_02_ratio-of-steps_49,2394.37158203125,0.01853070966899395,1.0
music80_02_ratio-of-steps,50,8.515690803527832,151.96990625,32000,31749,0.497308386465479,0.06976804544586247,0.02752198999625482,music80_02_ratio-of-steps_50,2372.41357421875,0.016273820772767067,1.0
music80_02_ratio-of-steps,51,8.484945297241211,156.29,6400,6370,0.5024348044320766,0.06820574106595866,0.02672085159786958,music80_02_ratio-of-steps_51,2672.75634765625,0.015043829567730427,1.0
music80_02_ratio-of-steps,52,8.481291770935059,159.4421875,6400,6360,0.5044837105685942,0.06790236579610813,0.02626712617019944,music80_02_ratio-of-steps_52,2596.372314453125,0.015680264681577682,1.0
music80_02_ratio-of-steps,53,8.481752395629883,162.10015625,6400,6360,0.5066474721763528,0.0673021961837505,0.026169091695587454,music80_02_ratio-of-steps_53,2539.0361328125,0.013867278583347797,1.0
music80_02_ratio-of-steps,54,8.479641914367676,163.4221875,6400,6366,0.5046960762559827,0.06711750007060456,0.02631827137272218,music80_02_ratio-of-steps_54,2308.88330078125,0.010849107056856155,1.0
music80_02_ratio-of-steps,55,8.494243621826172,158.6465625,6400,6362,0.5092896552637068,0.06634509420551099,0.02605614948465992,music80_02_ratio-of-steps_55,2553.9990234375,0.009760468266904354,1.0
music80_02_ratio-of-steps,56,8.467459678649902,159.55296875,6400,6356,0.5096843197255939,0.06669729496433117,0.026037546514623432,music80_02_ratio-of-steps_56,2385.056884765625,0.009000584483146667,1.0
