exp_name,Batch,test_loss,mean_length,n_samples,uniq_samples,ratio_of_steps,melodicity,tonality,model_samples,neg-loglike,D_loss_0,Accuracy_0,D_loss_1,Accuracy_1
music80_04_ratio-of-steps,0,8.451345443725586,103.162125,32000,31244,0.27260916316861533,0.09985759141257208,0.05563611627938022,music80_04_ratio-of-steps_0,1125.987548828125,0.6111849546432495,1.0,0.5873586535453796,1.0
music80_04_ratio-of-steps,1,8.420537948608398,104.536875,6400,6300,0.27903443747385737,0.09810752077199919,0.054089185716839856,music80_04_ratio-of-steps_1,1178.287353515625,0.5581254363059998,1.0,0.546535849571228,1.0
music80_04_ratio-of-steps,2,8.377557754516602,115.06390625,6400,6300,0.2856198195453146,0.09594410755503237,0.053983977571848085,music80_04_ratio-of-steps_2,1082.84326171875,0.5206724405288696,1.0,0.4822125732898712,1.0
music80_04_ratio-of-steps,3,8.400956153869629,114.878125,6400,6330,0.2944301973279376,0.09422228984036302,0.05264262037249622,music80_04_ratio-of-steps_3,1100.3172607421875,0.45820528268814087,1.0,0.43711069226264954,1.0
music80_04_ratio-of-steps,4,8.420655250549316,113.165,6400,6320,0.3035164315894267,0.09461806732561284,0.052886401925203975,music80_04_ratio-of-steps_4,1221.4853515625,0.4227391183376312,1.0,0.40031781792640686,1.0
music80_04_ratio-of-steps,5,8.461742401123047,115.8090625,6400,6318,0.3185465093429061,0.09135907247427114,0.04997024202780076,music80_04_ratio-of-steps_5,1170.7742919921875,0.3853229880332947,1.0,0.35157015919685364,1.0
music80_04_ratio-of-steps,6,8.481231689453125,113.94453125,6400,6308,0.3277194718497141,0.09075992489021009,0.0505677420853446,music80_04_ratio-of-steps_6,1233.8515625,0.35355329513549805,1.0,0.31411734223365784,1.0
music80_04_ratio-of-steps,7,8.495545387268066,116.9934375,6400,6323,0.33565206697234273,0.09033324437090436,0.04899238364783209,music80_04_ratio-of-steps_7,1063.20361328125,0.29982584714889526,1.0,0.2809150218963623,1.0
music80_04_ratio-of-steps,8,8.504867553710938,118.04640625,6400,6324,0.3473620648141147,0.08957695387337881,0.04746612174784924,music80_04_ratio-of-steps_8,1293.83740234375,0.2632352411746979,1.0,0.24945232272148132,1.0
music80_04_ratio-of-steps,9,8.50646686553955,122.35015625,6400,6330,0.35819420618875425,0.08946627328497656,0.047571835281607903,music80_04_ratio-of-steps_9,1136.2586669921875,0.23085318505764008,1.0,0.21785776317119598,1.0
music80_04_ratio-of-steps,10,8.523943901062012,122.19575,32000,31499,0.36112965698841815,0.08735833918983156,0.04598743649670684,music80_04_ratio-of-steps_10,1111.660400390625,0.20255975425243378,1.0,0.19235742092132568,1.0
music80_04_ratio-of-steps,11,8.518237113952637,123.52796875,6400,6335,0.37025154400275445,0.086251368211055,0.04539336663841205,music80_04_ratio-of-steps_11,1353.10986328125,0.17697517573833466,1.0,0.16719603538513184,1.0
music80_04_ratio-of-steps,12,8.546836853027344,122.74578125,6400,6333,0.3728839340945852,0.08531741995668267,0.04402240709241284,music80_04_ratio-of-steps_12,1296.44482421875,0.15506595373153687,1.0,0.14266318082809448,1.0
music80_04_ratio-of-steps,13,8.551445007324219,120.97265625,6400,6336,0.3765750386756572,0.0857697812621165,0.04453040804838601,music80_04_ratio-of-steps_13,1282.618408203125,0.13463497161865234,1.0,0.12407403439283371,1.0
music80_04_ratio-of-steps,14,8.545361518859863,124.0521875,6400,6327,0.385089180083276,0.08324812918295202,0.04245029777016802,music80_04_ratio-of-steps_14,1362.9091796875,0.11851460486650467,1.0,0.10936255007982254,1.0
