exp_name,Batch,test_loss,mean_length,n_samples,uniq_samples,ratio_of_steps,melodicity,tonality,model_samples,neg-loglike,D_loss_0,Accuracy_0,D_loss_1,Accuracy_1,D_loss_2,Accuracy_2,D_loss_3,Accuracy_3
music80_08_ratio-of-steps,0,8.393594741821289,107.21940625,32000,31375,0.26725730752937693,0.10041924150347376,0.05687534201694204,music80_08_ratio-of-steps_0,333.28033447265625,0.6612302660942078,1.0,0.6379470229148865,1.0,0.6105102896690369,1.0,0.5803026556968689,1.0
music80_08_ratio-of-steps,1,8.409399032592773,102.260625,6400,6279,0.2637600488705141,0.10018317194305809,0.05618488388934564,music80_08_ratio-of-steps_1,305.6019592285156,0.5620758533477783,1.0,0.5296717882156372,1.0,0.5056799650192261,1.0,0.48783424496650696,1.0
music80_08_ratio-of-steps,2,8.476147651672363,93.51078125,6400,6273,0.2655040229238542,0.10247697477499348,0.05772046544078961,music80_08_ratio-of-steps_2,338.86041259765625,0.4790388345718384,1.0,0.43603411316871643,1.0,0.41505417227745056,1.0,0.3938363194465637,1.0
music80_08_ratio-of-steps,3,8.533935546875,86.38859375,6400,6271,0.2665558918649809,0.1023464616687057,0.05765785199032202,music80_08_ratio-of-steps_3,274.0301818847656,0.3727777302265167,1.0,0.35350289940834045,1.0,0.33351588249206543,1.0,0.3188062608242035,1.0
music80_08_ratio-of-steps,4,8.574386596679688,80.37921875,6400,6248,0.27577707248547173,0.10012889310843455,0.05550962356512874,music80_08_ratio-of-steps_4,278.74432373046875,0.2975465655326843,1.0,0.2847782075405121,1.0,0.2652486264705658,1.0,0.2500506043434143,1.0
music80_08_ratio-of-steps,5,8.579384803771973,76.0778125,6400,6292,0.2759671462471054,0.1007825353395469,0.05551145667157416,music80_08_ratio-of-steps_5,247.3856658935547,0.2365981489419937,1.0,0.22484269738197327,1.0,0.20637696981430054,1.0,0.19963103532791138,1.0
music80_08_ratio-of-steps,6,8.6239652633667,71.43046875,6400,6281,0.279860787154728,0.1023963119604689,0.056816513733675474,music80_08_ratio-of-steps_6,293.8752746582031,0.1818280667066574,1.0,0.17013312876224518,1.0,0.16016119718551636,1.0,0.1474781632423401,1.0
music80_08_ratio-of-steps,7,8.655949592590332,72.20125,6400,6288,0.2837794225433041,0.10152500849400331,0.05751180463923066,music80_08_ratio-of-steps_7,231.08302307128906,0.13659341633319855,1.0,0.13381905853748322,1.0,0.1297072172164917,1.0,0.1107519194483757,1.0
music80_08_ratio-of-steps,8,8.626568794250488,74.01375,6400,6289,0.28768122928085954,0.09970216436669409,0.056384521884023944,music80_08_ratio-of-steps_8,251.84068298339844,0.10363049805164337,1.0,0.09511258453130722,1.0,0.09069190919399261,1.0,0.10274992883205414,1.0
music80_08_ratio-of-steps,9,8.632853507995605,73.7671875,6400,6274,0.28484796308385213,0.10054473646158246,0.056735289906216985,music80_08_ratio-of-steps_9,282.4825439453125,0.07719842344522476,1.0,0.07061012089252472,1.0,0.06705975532531738,1.0,0.06104256957769394,1.0
music80_08_ratio-of-steps,10,8.671753883361816,74.17121875,32000,31394,0.28949938297468686,0.10117890584714123,0.05749979046594687,music80_08_ratio-of-steps_10,228.14193725585938,0.05419071391224861,1.0,0.049971677362918854,1.0,0.04610978811979294,1.0,0.04216834157705307,1.0
music80_08_ratio-of-steps,11,8.64681339263916,76.980625,6400,6303,0.29057717410476164,0.10083136963040118,0.05791855590261643,music80_08_ratio-of-steps_11,249.01976013183594,0.039659690111875534,1.0,0.035850122570991516,1.0,0.032944455742836,1.0,0.029879799112677574,1.0
music80_08_ratio-of-steps,12,8.662144660949707,77.086875,6400,6315,0.29840133631771,0.10028164771572497,0.05774747398787192,music80_08_ratio-of-steps_12,266.68023681640625,0.02768854983150959,1.0,0.026825841516256332,1.0,0.02392834983766079,1.0,0.02553386613726616,1.0
music80_08_ratio-of-steps,13,8.660762786865234,77.82484375,6400,6296,0.29616502338807144,0.1012343712394285,0.05699315007941021,music80_08_ratio-of-steps_13,239.139892578125,0.020013052970170975,1.0,0.020421454682946205,1.0,0.01683058589696884,1.0,0.017297783866524696,1.0
music80_08_ratio-of-steps,14,8.659557342529297,77.29515625,6400,6291,0.3006289214877977,0.10005348462460205,0.058075566567658346,music80_08_ratio-of-steps_14,262.820068359375,0.014275891706347466,1.0,0.01381732989102602,1.0,0.011968452483415604,1.0,0.011465657502412796,1.0
music80_08_ratio-of-steps,15,8.650660514831543,77.840625,6400,6305,0.30513012719854954,0.10053988633939923,0.057607182382024946,music80_08_ratio-of-steps_15,272.2131042480469,0.010176173411309719,1.0,0.012898214161396027,1.0,0.020593969151377678,1.0,0.008494395762681961,1.0
music80_08_ratio-of-steps,16,8.690679550170898,78.29640625,6400,6319,0.30750882625785386,0.09948073744977477,0.05619718733308932,music80_08_ratio-of-steps_16,236.61965942382812,0.00909717008471489,1.0,0.06245919689536095,0.9583333730697632,0.008068779483437538,1.0,0.00766103807836771,1.0
music80_08_ratio-of-steps,17,8.68337631225586,79.35328125,6400,6317,0.3129581310612648,0.10245553831320642,0.0591466376017325,music80_08_ratio-of-steps_17,310.2297058105469,0.006847891956567764,1.0,0.007189780008047819,1.0,0.006075401324778795,1.0,0.005536024924367666,1.0
music80_08_ratio-of-steps,18,8.670355796813965,80.66390625,6400,6330,0.31045116529915356,0.09868359536892644,0.05590634048096471,music80_08_ratio-of-steps_18,265.7913513183594,0.005028553772717714,1.0,0.00498654181137681,1.0,0.005710674915462732,1.0,0.0043465993367135525,1.0
music80_08_ratio-of-steps,19,8.64971923828125,82.5853125,6400,6319,0.31899287009954724,0.10026722111960913,0.05798046296603994,music80_08_ratio-of-steps_19,284.5066223144531,0.004387288354337215,1.0,0.007273996714502573,1.0,0.004062244202941656,1.0,0.004663798958063126,1.0
music80_08_ratio-of-steps,20,8.652461051940918,82.79653125,32000,31513,0.3229005378211406,0.09928491064184015,0.057049168707571506,music80_08_ratio-of-steps_20,296.5191345214844,0.003575859358534217,1.0,0.0037498059682548046,1.0,0.003759747603908181,1.0,0.0030539908912032843,1.0
music80_08_ratio-of-steps,21,8.651684761047363,84.79859375,6400,6326,0.3289710627901611,0.09801931170211395,0.055712986165437926,music80_08_ratio-of-steps_21,318.7960205078125,0.0029713930562138557,1.0,0.0073708947747945786,1.0,0.002948082285001874,1.0,0.003683218266814947,1.0
music80_08_ratio-of-steps,22,8.661791801452637,85.849375,6400,6323,0.33545995955408286,0.09678118304223521,0.055393249123130116,music80_08_ratio-of-steps_22,277.5075378417969,0.0030235950835049152,1.0,0.0028260371182113886,1.0,0.0026931404136121273,1.0,0.002502091694623232,1.0
